No,module,kind,object class id,Oject Class term,Level,Card,attribute id,Property term,Representation term qualifier,Representation term,Associated Object Class,Semantic data type,Description,Type,Oject Class term (entity),Property term (attribute),Representation term (domain),Ref. Object Class,Ref. Property,Tag
281,GL,ABIE,GL02,General Ledger,1,--,0,Details,,,,,"Contains all of the journal entry details for each transaction (e.g. associated journal entry ID, associated account number, debits or credits associated with the journal entry line). This table should be at the journal entry line level.",E,GL DETAILS,,,,,GlDtls
282,GL,BBIE,GL02,General Ledger,2,1..1,1,Journal ID,,Identifier,,Code,Unique identifier for each journal entry.Typically auto-generated by the system.,A,GL DETAILS,Journal ID,IDENTIFIER 100,,,JrnId
283,GL,BBIE,GL02,General Ledger,2,0..1,2,Journal Number,,Identifier,,Code,"Number of the journal entry (e.g. including serial number, document type, date).",A,GL DETAILS,Journal Number,IDENTIFIER 100,,,JrnNr
285,GL,BBIE,GL02,General Ledger,2,0..1,3,Fiscal Year,,Code,,Code,"Fiscal year in which the Effective_Date [EffectiveDt] occurs.The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD from ISO 8601-1.Shall match the Fiscal_Year [FiscYr] in the BAS_Accounting_Period [BasAcntingPer] table.",A,GL DETAILS,Fiscal Year,YEAR IDENTIFIER,BAS ACCOUNTING PERIOD,Fiscal Year,FiscYr
286,GL,BBIE,GL02,General Ledger,2,0..1,4,Accounting Period Code,,Code,,Code,"Accounting period in which the Effective_Date [EffectiveDt] occurs.EXAMPLE   W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, from any beginning date to any ending date. Shall match the Accounting_Period [AcntingPer] in the BAS_Accounting_Period [BasAcntingPer] table.",A,GL DETAILS,Accounting Period,PERIOD IDENTIFIER,BAS ACCOUNTING PERIOD,Accounting Period,AcntingPer
292,GL,RFBIE,GL02,General Ledger,2,0..1,5,Source Code,,,Source,REF,"Code for the source from which the journal entry originated.EXAMPLE   Sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry, spreadsheet.Shall match the Source_Code [SrcCd] in the GL_Source [GlSrc] table.",A,GL DETAILS,Source Code,IDENTIFIER 25,GL SOURCE,Source Code,SrcCd
290,GL,BBIE,GL02,General Ledger,2,0..1,6,Journal Entry Header Description,,Text,,Text,Description of the entire journal entry as described by the journal entry header.,A,GL DETAILS,JE Header Description,TEXT 1000,,,JeHdrDscr
287,GL,BBIE,GL02,General Ledger,2,0..1,7,Effective Date,,Date,,Date,"Date of the journal entry, no matter when the entry is received or created.This sometimes refers to the accounting date or accounting effective date.EXAMPLE   If the user wants to see the financial results for the period ending March 5, 20XX, the journal entry may be created on any day during the open period and be assigned to the period ending March 5, 20XX.",A,GL DETAILS,Effective Date,DATE,,,EffectiveDt
287.01,GL,ASBIE,GL02,General Ledger,2,1..n,8,Included,,,GL Details,,,,,,,,,
287.02,GL,BBIE,GL03,GL Details,3,0..1,1,Journal Line Number,,Text,,Text,Number of the line within a journal entry.This number is generated either by manual input or by the system.,A,GL DETAILS,Journal Line Number,TEXT 100,,,JrnLnNr
287.03,GL,RFBIE,GL03,GL Details,3,0..1,2,Journal Entry Type Code,,,Journal Entry Type,REF,Code for the journal entry type.Shall match the JE_Type_Code [JeTypCd] in the BAS_Journal_Entry_Type [BasJrnEntryTyp] table.,A,GL DETAILS,JE Type Code,IDENTIFIER 60,BAS JOURNAL ENTRY TYPE,JE Type Code,JeTypCd
287.12,GL,BBIE,GL03,GL Details,3,0..1,3,Credit Debit Indicator,,Code,,Code,"Indicates whether the amount is a credit or a debit.EXAMPLE   C is credit, D is debit.",A,GL DETAILS,Credit Debit Indicator,CREDIT DEBIT CODE,,,CrDbInd
