semSort,id,level,card,semPath,businessTerm,dataType,bindingSort,syntaxID,businessTerm_en,desc,businessTerm_ja,desc_ja,synSort,xPath,occur,FixedValue
1010,JC00,0,n,/JC00,請求書,,1000,IBG-00,Invoice,Commercial invoice,デジタルインボイス,請求書,1000,/Invoice,1..1,
1020,JC0a,0,1,/JC00/JC0a,ヘッダ, ,,,,,,,1005,/Invoice,0..1,
1030,JC0a_01,1,,/JC00/JC0a/JC0a_01,取引ID,Code,,,,,,,,,,
1040,JC0a_02,1,,/JC00/JC0a/JC0a_02,処理日時,Date,,,,,,,,,,
1070,JC0a_03,1,,/JC00/JC0a/JC0a_03,取引プロセスID,Text,1280,IBT-023,Business process type,"Identifies the business process context in which the transaction appears	 to enable the Buyer to process the Invoice in an appropriate way.",ビジネスプロセスタイプ,取引プロセスの名称。買い手が適切な方法で請求書を処理することができるように、取引が行われたビジネスプロセスを識別する。,1020,/Invoice/ cbc:ProfileID,1..1,
1080,JC0a_04,1,,/JC00/JC0a/JC0a_04,取引プロセス名,Text,,,,,,,,,,
1110,JC0a_05,1,,/JC00/JC0a/JC0a_05,バージョンID,Code,,,,,,,,,,
1120,JC0a_06,1,,/JC00/JC0a/JC0a_06,バージョン発行日,Date,,,,,,,,,,
1150,JC0a_07,1,,/JC00/JC0a/JC0a_07,取引シナリオID,Code,,,,,,,,,,
1160,JC0a_08,1,,/JC00/JC0a/JC0a_08,取引シナリオ名,Text,,,,,,,,,,
1190,JC0a_09,1,,/JC00/JC0a/JC0a_09,アプリケーションID,Code,,,,,,,,,,
1200,JC0a_10,1,,/JC00/JC0a/JC0a_10,アプリケーション名,Text,,,,,,,,,,
1230,JC0a_11,1,,/JC00/JC0a/JC0a_11,ドメインID,Identifier,1290,IBT-024,Specification identifier,"An identification of the specification containing the total set of rules regarding semantic content	 cardinalities and business rules to which the data contained in the instance document conforms.",仕様ID,取引プロセスのID。セマンティックコンテンツ、カーディナリティや、インスタンス文書に含まれているデータが準拠すべきビジネスルールに関するルール一式を含む、仕様を識別する。,1010,/Invoice/ cbc:CustomizationID,1..1,
1240,JC0a_12,1,,/JC00/JC0a/JC0a_12,ドメイン名,Text,,,,,,,,,,
1270,JC0a_13,1,,/JC00/JC0a/JC0a_13,バージョンID,Code,,,,,,,,,,
1280,JC0a_14,1,,/JC00/JC0a/JC0a_14,バージョン発行日,Date,,,,,,,,,,
1300,JC0a_15,1,,/JC00/JC0a/JC0a_15,インボイスID,Identifier,1010,IBT-001,Invoice number,A unique identification of the Invoice.,請求書番号,請求書の一意識別番号。,1030,/Invoice/ cbc:ID,1..1,
