semSort,id,card,semPath,businessTerm,dataType,SMESemSort,syntaxID,businessTerm_en,desc,businessTerm_ja,desc_ja,Syntax Sort,UBL syntax binding XPath,Card_consolidated,
1010,JC00,n,/JC00,請求書,―,1,UN01005479,CIExchangedDocumentContext,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",統合請求書,受注者が発注者に交付する統合請求文書（メッセージ）,1,/ SMEInvoice,－,
1020,JC0a,1,/JC00/JC0a,ヘッダ, ,2,UN01005480,SpecifiedTransactionID,The identifier of a specified transaction in this CI exchanged document context.,取引設定クラス,メッセージの設定内容に関する情報からなるクラス,2,/ SMEInvoice/ CIExchangedDocumentContext,0..1,
1030,JC0a_01,,/JC00/JC0a/JC0a_01,取引ID,Code,3,UN01012746,ProcessingTransactionDateTime,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",取引ID,メッセージがやり取りされる取引識別番号,3,/ SMEInvoice/ CIExchangedDocumentContext/ SpecifiedTransactionID,0..1,
1040,JC0a_02,,/JC00/JC0a/JC0a_02,処理日時,Date,4,UN01005481,BusinessProcessSpecifiedCIDocumentContextParameter,A business process CI document context parameter specified for this CI exchanged document context.,処理日時,メッセージがやり取りされる日時,4,/ SMEInvoice/ CIExchangedDocumentContext/ ProcessingTransactionDateTime,0..1,
1050,,,,,,5,UN01005471,CIDocumentContextParameter,A feature that is fixed for a particular Cross Industry (CI) document context.,取引設定内容/取引プロセスグループ,取引設定内容の取引プロセスに関する情報,5,/ SMEInvoice/ CIExchangedDocumentContext/ BusinessProcessSpecifiedCIDocumentContextParameter,1..1,
1060,,,,,,6,UN01005472,ID,The unique identifier of this CI document context parameter.,取引プロセス設定クラス,取引プロセスに関する情報のクラス,6,, -,
1070,JC0a_03,,/JC00/JC0a/JC0a_03,取引プロセスID,Text,7,UN01005473,Value,"The value, expressed as text, of this CI document context parameter.",取引プロセスID,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",7,/ SMEInvoice/ CIExchangedDocumentContext/ BusinessProcessSpecifiedCIDocumentContextParameter/ ID,0..1,
1080,JC0a_04,,/JC00/JC0a/JC0a_04,取引プロセス名,Text,8,UN01005474,SpecifiedCIDocumentVersion,The CI document version specified for this CI document context parameter.,取引プロセス名,取引プロセスの名称,8,/ SMEInvoice/ CIExchangedDocumentContext/ BusinessProcessSpecifiedCIDocumentContextParameter/ Value,0..1,
1090,,,,,,9,UN01005475,CIDocumentVersion,A specific variant of a Cross Industry (CI) document.,取引プロセス/バージョングループ,取引プロセスのバージョンに関する情報,9,/ SMEInvoice/ CIExchangedDocumentContext/ BusinessProcessSpecifiedCIDocumentContextParameter/ SpecifiedCIDocumentVersion,1..1,
1100,,,,,,10,UN01005476,ID,The unique identifier for this CI document version.,バージョンクラス,バージョンに関する情報のクラス,10,, - ,
1110,JC0a_05,,/JC00/JC0a/JC0a_05,バージョンID,Code,11,UN01005478,IssueDateTime,"The date, time, date time or other date time value of issue of this CI document version.",バージョンID,取引プロセスのバージョン識別番号,11,/ SMEInvoice/ CIExchangedDocumentContext/ BusinessProcessSpecifiedCIDocumentContextParameter/ SpecifiedCIDocumentVersion/ ID,0..1,
1120,JC0a_06,,/JC00/JC0a/JC0a_06,バージョン発行日,Date,12,UN01005483,ScenarioSpecifiedCIDocumentContextParameter,A scenario CI document context parameter specified for this CI exchanged document context.,バージョン発行日,取引プロセスのバージョン発行日,12,/ SMEInvoice/ CIExchangedDocumentContext/ BusinessProcessSpecifiedCIDocumentContextParameter/ SpecifiedCIDocumentVersion/ IssueDateTime,0..1,
1130,,,,,,13,UN01005471,CIDocumentContextParameter,A feature that is fixed for a particular Cross Industry (CI) document context.,取引設定内容/取引シナリオグループ,取引設定内容の取引シナリオに関する情報,13,/ SMEInvoice/ CIExchangedDocumentContext/ ScenarioSpecifiedCIDocumentContextParameter,0..1,
1140,,,,,,14,UN01005472,ID,The unique identifier of this CI document context parameter.,取引シナリオ設定クラス,取引シナリオに関する情報のクラス,14,, -,
1150,JC0a_07,,/JC00/JC0a/JC0a_07,取引シナリオID,Code,15,UN01005473,Value,"The value, expressed as text, of this CI document context parameter.",取引シナリオID,取引シナリオの識別番号,15,/ SMEInvoice/ CIExchangedDocumentContext/ ScenarioSpecifiedCIDocumentContextParameter/ ID,0..1,
1160,JC0a_08,,/JC00/JC0a/JC0a_08,取引シナリオ名,Text,16,UN01005484,ApplicationSpecifiedCIDocumentContextParameter,An application CI document context parameter specified for this CI exchanged document context.,取引シナリオ名,取引シナリオの名称,16,/ SMEInvoice/ CIExchangedDocumentContext/ ScenarioSpecifiedCIDocumentContextParameter/ Value,0..1,
1170,,,,,,17,UN01005471,CIDocumentContextParameter,A feature that is fixed for a particular Cross Industry (CI) document context.,取引設定内容/アプリケーショングループ,取引設定内容のアプリケーションに関する情報,17,/ SMEInvoice/ CIExchangedDocumentContext/ ApplicationSpecifiedCIDocumentContextParameter,0..1,
1180,,,,,,18,UN01005472,ID,The unique identifier of this CI document context parameter.,アプリケーション設定クラス,アプリケーションに関する情報のクラス,18,, -,
1190,JC0a_09,,/JC00/JC0a/JC0a_09,アプリケーションID,Code,19,UN01005473,Value,"The value, expressed as text, of this CI document context parameter.",アプリケーションID,業務アプリケーションが実装する業界・業種識別番号,19,/ SMEInvoice/ CIExchangedDocumentContext/ ApplicationSpecifiedCIDocumentContextParameter/ ID,0..1,
1200,JC0a_10,,/JC00/JC0a/JC0a_10,アプリケーション名,Text,20,UN01005486,SubsetSpecifiedCIDocumentContextParameter,A subset CI document context parameter specified for this CI exchanged document context.,アプリケーション名,業務アプリケーションが実装する業界・業種名称,20,/ SMEInvoice/ CIExchangedDocumentContext/ ApplicationSpecifiedCIDocumentContextParameter/ Value,0..1,
1210,,,,,,21,UN01005471,CIDocumentContextParameter,A feature that is fixed for a particular Cross Industry (CI) document context.,取引設定内容/ドメイングループ,取引設定内容のドメインの情報に関する情報,21,/ SMEInvoice/ CIExchangedDocumentContext/ SubsetSpecifiedCIDocumentContextParameter,1..1,
1220,,,,,,22,UN01005472,ID,The unique identifier of this CI document context parameter.,ドメイン設定クラス,JEC業界横断EDIメッセージドメインに関する情報のクラス,22,, -,
1230,JC0a_11,,/JC00/JC0a/JC0a_11,ドメインID,Identifier,23,UN01005473,Value,"The value, expressed as text, of this CI document context parameter.",ドメインID,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",23,/ SMEInvoice/ CIExchangedDocumentContext/ SubsetSpecifiedCIDocumentContextParameter/ ID,0..1,
1240,JC0a_12,,/JC00/JC0a/JC0a_12,ドメイン名,Text,24,UN01005474,SpecifiedCIDocumentVersion,The CI document version specified for this CI document context parameter.,ドメイン名,SIPSが付与したメッセージドメイン名称,24,/ SMEInvoice/ CIExchangedDocumentContext/ SubsetSpecifiedCIDocumentContextParameter/ Value,0..1,
1250,,,,,,25,UN01005475,CIDocumentVersion,A specific variant of a Cross Industry (CI) document.,ドメイン/バージョングループ,ドメインのバージョンに関する情報,25,/ SMEInvoice/ CIExchangedDocumentContext/ SubsetSpecifiedCIDocumentContextParameter/ SpecifiedCIDocumentVersion,0..1,
1260,,,,,,26,UN01005476,ID,The unique identifier for this CI document version.,バージョンクラス,バージョンに関する情報のクラス,26,, - ,
