d_JC00,d_JC72_JC13,d_JC57_8_JC1b,d_JC57_9_JC1b,d_JC55_a_JC2d,d_JC6e_JC62,d_JC7c_JC10,d_JC69_JC13,d_JC73_JC13,d_JC75_8_JC1b,d_JC75_9_JC1b,d_JC2a_JC11,JC0a_03,JC0a_11,JC0a_15,JC0a_17,JC0a_18,JC0a_24,JC30_JC10_02,JC72_JC13_01,JC72_JC13_06,JC72_JC13_11,JC72_JC13_12,JC72_JC13_13,JC32_1_JC23_01,JC32_1_JC23_20,JC32_1_JC23_02,JC32_1_JC23_21,JC32_1_JC23_22,JC32_1_JC23_03,JC32_1_JC23_04,JC32_1_JC23_23,JC32_1_JC23_26,JC32_1_JC23_07,JC32_1_JC23_08,JC32_1_JC23_10,JC32_1_JC23_12,JC32_1_JC23_13,JC32_1_JC23_14,JC32_1_JC23_15,JC32_1_JC23_16,JC32_1_JC23_27,JC32_1_JC23_28,JC32_1_JC23_17,JC32_1_JC23_18,JC32_1_JC23_19,JC33_2_JC23_01,JC33_2_JC23_20,JC33_2_JC23_25,JC33_2_JC23_02,JC33_2_JC23_21,JC33_2_JC23_03,JC33_2_JC23_04,JC33_2_JC23_22,JC33_2_JC23_07,JC33_2_JC23_10,JC33_2_JC23_12,JC33_2_JC23_13,JC33_2_JC23_14,JC33_2_JC23_15,JC33_2_JC23_16,JC33_2_JC23_23,JC33_2_JC23_24,JC33_2_JC23_17,JC33_2_JC23_18,JC33_2_JC23_19,JC71_JC01_01,JC43_JC34_02,JC37_5_JC23_01,JC37_5_JC23_16,JC37_5_JC23_02,JC37_5_JC23_17,JC37_5_JC23_03,JC3b_JC16_01,JC3b_JC16_02,JC17_JC04_01,JC17_JC04_02,JC3e_JC27_02,JC3f_JC45_04,JC3f_JC45_08,JC49_JC13_01,JC4a_JC13_01,JC4b_JC13_01,JC4d_JC23_01,JC4d_JC23_10,JC4d_JC23_03,JC4d_JC23_04,JC4d_JC23_05,JC4d_JC23_06,JC4d_JC23_07,JC4d_JC23_11,JC4d_JC23_12,JC4d_JC23_08,JC4d_JC23_09,JC5e_JC13_01,JC5f_JC13_01,JC57_8_JC1b_01,JC57_8_JC1b_03,JC57_8_JC1b_04,JC57_8_JC1b_05,JC57_8_JC1b_07,JC57_8_JC1b_08,JC57_8_JC1b_09,JC57_9_JC1b_01,JC57_9_JC1b_03,JC57_9_JC1b_04,JC57_9_JC1b_05,JC57_9_JC1b_07,JC57_9_JC1b_08,JC57_9_JC1b_09,JC55_a_JC2d_01,JC55_a_JC2d_02,JC55_a_JC2d_03,JC55_a_JC2d_04,JC55_a_JC2d_05,JC55_a_JC2d_07,JC56_JC14_01,JC56_JC14_02,JC58_c_JC5c_01,JC58_c_JC5c_02,JC58_c_JC5c_03,JC58_c_JC5c_04,JC58_c_JC5c_05,JC58_c_JC5c_06,JC58_c_JC5c_07,JC5a_JC13_01,JC5a_JC13_05,JC5b_d_JC13_01,JC5b_a_JC13_01,JC5b_a_JC13_02,JC61_JC19_02,JC6e_JC62_01,JC7c_JC10_02,JC68_JC13_01,JC68_JC13_02,JC69_e_JC13_01,JC69_JC13_01,JC6a_JC28_02,JC2c_JC21_01,JC2c_JC21_02,JC2c_JC21_03,JC6a_JC28_03,JC6a_JC28_04,JC64_JC6b_04,JC64_JC6b_05,JC6d_JC2d_01,JC6d_JC2d_02,JC6d_JC2d_03,JC6d_JC2d_05,JC73_JC13_01,JC73_JC13_06,JC75_8_JC1b_01,JC75_8_JC1b_03,JC75_8_JC1b_04,JC75_8_JC1b_05,JC75_9_JC1b_01,JC75_9_JC1b_03,JC75_9_JC1b_04,JC75_9_JC1b_05,JC76_JC14_01,JC76_JC14_02,JC7d_JC19_02,JC70_JC29_02,JC70_JC29_10,JC70_JC29_12,JC70_JC29_13,JC70_JC29_14,JC70_JC29_03,JC70_JC29_04,JC70_JC29_06,JC70_JC29_11,JC2a_JC11_01,JC2a_JC11_02,d_JC00,d_JC55_a_JC2d,d_JC6e_JC62,d_JC7c_JC10,d_JC73_JC13,d_JC00,JC43_JC34_01,JC3b_JC16_05,JC60_JC03_01,JC60_JC03_03,JC60_JC03_04,JC55_b_JC2d_01,JC55_b_JC2d_03,JC55_b_JC2d_07,JC55_b_JC2d_05,JC58_b_JC5c_01,d_JC00,d_JC72_JC13,d_JC55_a_JC2d,d_JC55_b_JC2d,d_JC6e_JC62,d_JC7c_JC10,d_JC69_JC13,d_JC73_JC13,d_JC75_8_JC1b,d_JC75_9_JC1b,d_JC2a_JC11,d_JC00,d_JC72_JC13,d_JC55_a_JC2d,d_JC55_b_JC2d,d_JC6e_JC62,d_JC7c_JC10,d_JC73_JC13
1,,,,,,,,,,,,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:fdc:peppol:jp:billing:3.0,103,380,2023-11-01,2023-11-20,,,,,,,123456:000123:0147:1,0147,1234567890123,0188,Private Limited Company,株式会社 〇〇商事,T1234567890123,VAT,株式会社 〇〇商事,青木 志郎,青木 志郎,03-3xxx-0001,shirou_aoki@〇〇co.jp,1600044,四谷4-29-X,〇〇商事ビル,,新宿区,東京都,JP,0188,1234567890123,654321:000321:0147:1,0147,株式会社 〇〇物産,654321:000321:0147:1,0147,株式会社 〇〇物産,>T3210987654321,VAT,株式会社 〇〇物産,011-757-1xxx,purchaser@oobussan.co.jp,0010012,北区,北十二条西76-X,,札幌市,北海道,JP,0188,3210987654321,,JPY,,,,,,30,Credit transfer,ｶ)ﾏﾙﾏﾙｼﾖｳｼﾞ,1234:567:1:3242394,"月末締め翌月20日払い, 銀行手数料振込人負担",0,0,,,,123456:000123:0147:1,0147,株式会社 〇〇物産 札幌支社,0010012,北区,北十二条西76-X,,札幌市,北海道,JP,,,,,,,,,,,,,,,,,,,,,,,,2023-10-01,2023-10-31,0,0,26000,263490,263490,289490,289490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,doc1,Usage summary,report.csv,http://www.salescompany.com/summary001.html,text/csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,doc2,Usage breakdown,,http://www.salescompany.com/breakdown001.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,VAT,260000,S,JPY,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,VAT,3490,E,JPY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,S,VAT,10,,,,,1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,E,,0,,,,,2,,,,,,,,,,,,,,
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,257500,,,,1,H87,1,H87,VAT,257500,S,10,,,,,,,,,,,2023-10-16,2023-10-16,,,,,,,,,D001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2500,,,,1,H87,1,H87,VAT,2500,S,10,,,,,,,,,,,2023-10-18,2023-10-18,,,,,,,,,D001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3490,,,,1,H87,1,H87,VAT,3490,E,0,,,,,,,,,,,2023-10-20,2023-10-20,,,,,,,,,D001-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
