JBG-00,JBG-10,JBG-12,JBG-76,JBG-77,JBG-84,JBG-89,JBG-90,JBG-91,JBT-003,JBT-011,JBT-019,JBT-021,JBT-022,JBT-031,JBT-035,JBT-037,JBT-038,JBT-039,JBT-041,JBT-042,JBT-043,JBT-044,JBT-045,JBT-046,JBT-047,JBT-048,JBT-050,JBT-053,JBT-055,JBT-058,JBT-060,JBT-061,JBT-062,JBT-063,JBT-067,JBT-068,JBT-069,JBT-070,JBT-072,JBT-073,JBT-073-1,JBT-075,JBT-078,JBT-080,JBT-081,JBT-082,JBT-083,JBT-087,JBT-090,JBT-192,JBT-193,JBT-195,JBT-196,JBT-212,JBT-213,JBT-215,JBT-222,JBT-297,JBT-299,JBT-300,JBT-301,JBT-302,JBT-304,JBT-305,JBT-306,JBT-310,JBT-311,JBT-312,JBT-313,JBT-314,JBT-315,JBT-316,JBT-318,JBT-343,JBT-346,JBT-356,JBT-363,JBT-368,JBT-369,JBT-370,JBT-371,JBT-372,JBT-374,JBT-384,JBT-386,JBT-387,JBT-388,JBT-390,JBT-392,JBT-394,JBT-399,JBT-401,JBT-409,JBT-416,JBT-418,JBT-419,JBT-424
0,,,,,,,,,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:fdc:peppol:jp:billing:3.0,103,380,2023-11-01,,,,,,,,,,,123456:000123:0147:1,1234567890123,株式会社 〇〇商事,T1234567890123,1234567890123,青木 志郎,03-3xxx-0001,shirou_aoki@〇〇co.jp,1600044,四谷4-29-X,〇〇商事ビル,東京都,654321:000321:0147:1,654321:000321:0147:1,株式会社 〇〇物産,T3210987654321,3210987654321,0188,株式会社 〇〇物産,011-757-1xxx,purchaser@oobussan.co.jp,0010012,北区,北十二条西76-X,JP,JPY,30,Credit transfer,ｶ)ﾏﾙﾏﾙｼﾖｳｼﾞ,1234:567:1:3242394,2023-10-01,2023-10-31,"月末締め翌月20日払い, 銀行手数料振込人負担",0,123456:000123:0147:1,株式会社 〇〇物産 札幌支社,0010012,北区,北十二条西76-X,札幌市,北海道,JP,0,0,26000,333490,VAT,359490,359490,0,,Sample of new model,,,,,,,,,false,1679,,,,,,,,,,,,
0,0,,,,,,,,,,,,,doc2,Usage breakdown,text/csv,report.csv,http://www.salescompany.com/breakdown001.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,doc2,Usage breakdown,text/csv,report.csv,http://www.salescompany.com/breakdown001.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,,,,,doc2,text/csv,report.csv,http://www.salescompany.com/breakdown001.html,Usage breakdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,,,,,,,,,,,,,,,,,doc2,text/csv,report.csv,http://www.salescompany.com/breakdown001.html,Usage breakdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D001-4,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D001-4,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D001-4,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D001-4,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,,,,,,,,,,,,,,,,,,,,
0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,,,,,,,,,,,,,,,,,,,,
0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,,,,,,,,,,,,,,,,,,,,
