num,GL02,GL02-GL55,date,contra_account,contra_account_name,note,debit_amount,credit_amount,balance
,,,,111,現金,,29608790,28847774,761016
2,0001-20090401-18-1-1-463,0,2009-04-01,726,旅費交通費,旅費,0,18572,-18572
3,0001-20090401-18-1-1-463,1,2009-04-01,191,仮払消費税等,旅費,0,928,-19500
6,0001-20090401-246-2-1-465,0,2009-04-01,726,旅費交通費,旅費,0,9524,-29024
7,0001-20090401-246-2-1-465,1,2009-04-01,191,仮払消費税等,旅費,0,476,-29500
10,0001-20090402-122-5-1-471,0,2009-04-02,727,通信費,証明書発行手数料,0,1000,-30500
11,0001-20090402-122-5-1-471,1,2009-04-02,191,仮払消費税等,証明書発行手数料,0,50,-30550
14,0001-20090402-142-6-1-473,0,2009-04-02,740,車両費,高速代,0,2458,-33008
15,0001-20090402-142-6-1-473,1,2009-04-02,191,仮払消費税等,高速代,0,122,-33130
17,0001-20090402-142-6-1-473,3,2009-04-02,740,車両費,駐車代,0,591,-33721
18,0001-20090402-142-6-1-473,4,2009-04-02,191,仮払消費税等,駐車代,0,29,-33750
19,0001-20090402-142-6-1-473,5,2009-04-02,740,車両費,ガソリン代,0,4620,-38370
20,0001-20090402-142-6-1-473,6,2009-04-02,191,仮払消費税等,ガソリン代,0,230,-38600
21,0001-20090402-142-6-1-473,7,2009-04-02,740,車両費,洗車券代,0,5715,-44315
22,0001-20090402-142-6-1-473,8,2009-04-02,191,仮払消費税等,洗車券代,0,285,-44600
24,0001-20090402-19-3-1-467,0,2009-04-02,726,旅費交通費,旅費,0,10477,-55077
25,0001-20090402-19-3-1-467,1,2009-04-02,191,仮払消費税等,旅費,0,523,-55600
28,0001-20090402-68-4-1-469,0,2009-04-02,791,雑費,トイレットペーパー他,0,2829,-58429
29,0001-20090402-68-4-1-469,1,2009-04-02,191,仮払消費税等,トイレットペーパー他,0,141,-58570
32,0001-20090403-134-8-1-477,0,2009-04-03,754,事務用消耗品費,用紙,0,14858,-73428
33,0001-20090403-134-8-1-477,1,2009-04-03,191,仮払消費税等,用紙,0,742,-74170
37,0001-20090403-41-7-1-475,1,2009-04-03,733,交際接待費,結婚式会費,0,12000,-86170
39,0001-20090404-310-9-1-479,0,2009-04-04,740,車両費,ガソリン代,0,6486,-92656
40,0001-20090404-310-9-1-479,1,2009-04-04,191,仮払消費税等,ガソリン代,0,324,-92980
42,0001-20090404-310-9-1-479,3,2009-04-04,740,車両費,高速代,0,9715,-102695
43,0001-20090404-310-9-1-479,4,2009-04-04,191,仮払消費税等,高速代,0,485,-103180
44,0001-20090404-310-9-1-479,5,2009-04-04,740,車両費,駐車代,0,1200,-104380
45,0001-20090404-310-9-1-479,6,2009-04-04,191,仮払消費税等,駐車代,0,60,-104440
85,0001-20090406-10-16-1-493,0,2009-04-06,740,車両費,ガソリン代,0,4023,-108463
86,0001-20090406-10-16-1-493,1,2009-04-06,191,仮払消費税等,ガソリン代,0,201,-108664
89,0001-20090406-106-19-1-499,0,2009-04-06,733,交際接待費,食事代　ホテルララダ2名,0,5372,-114036
90,0001-20090406-106-19-1-499,1,2009-04-06,191,仮払消費税等,食事代　ホテルララダ2名,0,268,-114304
92,0001-20090406-106-19-1-499,3,2009-04-06,733,交際接待費,飲食代　スナック北新地,0,30648,-144952
93,0001-20090406-106-19-1-499,4,2009-04-06,191,仮払消費税等,飲食代　スナック北新地,0,1532,-146484
95,0001-20090406-110-20-1-501,0,2009-04-06,726,旅費交通費,タクシー代,0,2181,-148665
96,0001-20090406-110-20-1-501,1,2009-04-06,191,仮払消費税等,タクシー代,0,109,-148774
99,0001-20090406-123-21-1-503,0,2009-04-06,727,通信費,切手代,0,38096,-186870
100,0001-20090406-123-21-1-503,1,2009-04-06,191,仮払消費税等,切手代,0,1904,-188774
104,0001-20090406-124-22-1-505,1,2009-04-06,738,租税公課,収入印紙,0,6000,-194774
110,0001-20090406-156-24-1-509,0,2009-04-06,726,旅費交通費,出張旅費,0,7143,-201917
111,0001-20090406-156-24-1-509,1,2009-04-06,191,仮払消費税等,出張旅費,0,357,-202274
114,0001-20090406-236-25-1-511,0,2009-04-06,733,交際接待費,ゴルフプレー代2名,0,25239,-227513
115,0001-20090406-236-25-1-511,1,2009-04-06,191,仮払消費税等,ゴルフプレー代2名,0,1261,-228774
125,0001-20090406-42-17-1-495,0,2009-04-06,733,交際接待費,昼食代　フロンティホテル,0,4429,-233203
126,0001-20090406-42-17-1-495,1,2009-04-06,191,仮払消費税等,昼食代　フロンティホテル,0,221,-233424
129,0001-20090406-84-18-1-497,0,2009-04-06,727,通信費,切手代,0,66667,-300091
130,0001-20090406-84-18-1-497,1,2009-04-06,191,仮払消費税等,切手代,0,3333,-303424
