num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,171,商品,,63025546,63013226,12320
18140,0001-20100331-138-2813-1-6087,1,2010-03-31,561,期末商品棚卸高,期末在庫(札幌),7889283,0,7889283
18141,0001-20100331-138-2813-1-6087,2,2010-03-31,561,期末商品棚卸高,期末在庫(東京),32429735,0,40319018
18142,0001-20100331-138-2813-1-6087,3,2010-03-31,561,期末商品棚卸高,期末在庫(名古屋),6035795,0,46354813
18143,0001-20100331-138-2813-1-6087,4,2010-03-31,561,期末商品棚卸高,期末在庫(大阪),12830339,0,59185152
18144,0001-20100331-138-2813-1-6087,5,2010-03-31,561,期末商品棚卸高,期末在庫(九州),3840394,0,63025546
18211,0001-20100331-301-2823-1-6107,0,2010-03-31,531,期首商品棚卸高,在庫振替(札幌),0,7858401,55167145
18213,0001-20100331-301-2823-1-6107,2,2010-03-31,531,期首商品棚卸高,在庫振替(東京),0,31348594,23818551
18214,0001-20100331-301-2823-1-6107,3,2010-03-31,531,期首商品棚卸高,在庫振替(名古屋),0,5606387,18212164
18215,0001-20100331-301-2823-1-6107,4,2010-03-31,531,期首商品棚卸高,在庫振替(大阪),0,13493680,4718484
18216,0001-20100331-301-2823-1-6107,5,2010-03-31,531,期首商品棚卸高,在庫振替(九州),0,4706164,12320
,,,2010-03,,※※月計※※,在庫振替(九州),63025546,63013226,12320
