num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,191,仮払消費税等,,33598743,0,33598743
3,0001-20090401-18-1-1-463,1,2009-04-01,111,現金,旅費,928,0,928
7,0001-20090401-246-2-1-465,1,2009-04-01,111,現金,旅費,476,0,1404
11,0001-20090402-122-5-1-471,1,2009-04-02,111,現金,証明書発行手数料,50,0,1454
15,0001-20090402-142-6-1-473,1,2009-04-02,111,現金,高速代,122,0,1576
18,0001-20090402-142-6-1-473,4,2009-04-02,111,現金,駐車代,29,0,1605
20,0001-20090402-142-6-1-473,6,2009-04-02,111,現金,ガソリン代,230,0,1835
22,0001-20090402-142-6-1-473,8,2009-04-02,111,現金,洗車券代,285,0,2120
25,0001-20090402-19-3-1-467,1,2009-04-02,111,現金,旅費,523,0,2643
29,0001-20090402-68-4-1-469,1,2009-04-02,111,現金,トイレットペーパー他,141,0,2784
33,0001-20090403-134-8-1-477,1,2009-04-03,111,現金,用紙,742,0,3526
40,0001-20090404-310-9-1-479,1,2009-04-04,111,現金,ガソリン代,324,0,3850
43,0001-20090404-310-9-1-479,4,2009-04-04,111,現金,高速代,485,0,4335
45,0001-20090404-310-9-1-479,6,2009-04-04,111,現金,駐車代,60,0,4395
48,0001-20090405-133-11-1-483,1,2009-04-05,131,普通預金,税理士報酬,6652,0,11047
54,0001-20090405-139-12-1-485,1,2009-04-05,322,未払金,制服代,2649,0,13696
62,0001-20090405-254-13-1-487,3,2009-04-05,152,売掛金,09年4月5日伝票No190株式会社　渡辺産業,30,0,13726
70,0001-20090405-255-14-1-489,3,2009-04-05,152,売掛金,09年4月5日伝票No191佐々木販売株式会社,22,0,13748
78,0001-20090405-256-15-1-491,3,2009-04-05,152,売掛金,09年4月5日伝票No192岩下物産株式会社,35,0,13783
82,0001-20090405-76-10-1-481,1,2009-04-05,322,未払金,制服代,2666,0,16449
86,0001-20090406-10-16-1-493,1,2009-04-06,111,現金,ガソリン代,201,0,16650
90,0001-20090406-106-19-1-499,1,2009-04-06,111,現金,食事代　ホテルララダ2名,268,0,16918
93,0001-20090406-106-19-1-499,4,2009-04-06,111,現金,飲食代　スナック北新地,1532,0,18450
96,0001-20090406-110-20-1-501,1,2009-04-06,111,現金,タクシー代,109,0,18559
100,0001-20090406-123-21-1-503,1,2009-04-06,111,現金,切手代,1904,0,20463
107,0001-20090406-147-23-1-507,1,2009-04-06,322,未払金,ガソリン代,244,0,20707
111,0001-20090406-156-24-1-509,1,2009-04-06,111,現金,出張旅費,357,0,21064
115,0001-20090406-236-25-1-511,1,2009-04-06,111,現金,ゴルフプレー代2名,1261,0,22325
126,0001-20090406-42-17-1-495,1,2009-04-06,111,現金,昼食代　フロンティホテル,221,0,22546
130,0001-20090406-84-18-1-497,1,2009-04-06,111,現金,切手代,3333,0,25879
134,0001-20090407-102-35-1-531,1,2009-04-07,111,現金,手土産代　阿部商店,50,0,25929
138,0001-20090407-20-27-1-515,1,2009-04-07,111,現金,旅費,1857,0,27786
142,0001-20090407-21-28-1-517,1,2009-04-07,111,現金,JR代,3309,0,31095
146,0001-20090407-22-29-1-519,1,2009-04-07,111,現金,旅費,2380,0,33475
150,0001-20090407-43-30-1-521,1,2009-04-07,111,現金,手土産代　阿部商事,315,0,33790
154,0001-20090407-56-31-1-523,1,2009-04-07,111,現金,旅費,1023,0,34813
158,0001-20090407-57-32-1-525,1,2009-04-07,111,現金,JR代,4657,0,39470
162,0001-20090407-58-33-1-527,1,2009-04-07,111,現金,旅費,3333,0,42803
166,0001-20090407-69-34-1-529,1,2009-04-07,111,現金,お茶代,66,0,42869
169,0001-20090407-69-34-1-529,4,2009-04-07,111,現金,コーヒー代,141,0,43010
172,0001-20090408-143-37-1-535,1,2009-04-08,111,現金,ガソリン代,339,0,43349
