num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,511,売上高,,0,814595737,-814595737
1191,0001-20090430-276-218-1-897,1,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,1536384,-1536384
1194,0001-20090430-276-218-1-897,4,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,3664410,-5200794
1197,0001-20090430-276-218-1-897,7,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,1418200,-6618994
1201,0001-20090430-277-219-1-899,1,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,13321782,-19940776
1204,0001-20090430-277-219-1-899,4,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,10846514,-30787290
1207,0001-20090430-277-219-1-899,7,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,620476,-31407766
1210,0001-20090430-277-219-1-899,10,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,1671612,-33079378
1213,0001-20090430-277-219-1-899,13,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,2064894,-35144272
1215,0001-20090430-277-219-1-899,15,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,976504,-36120776
1219,0001-20090430-277-219-1-899,19,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,1104852,-37225628
1225,0001-20090430-277-219-1-899,25,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,359744,-37585372
1231,0001-20090430-277-219-1-899,31,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,430032,-38015404
1235,0001-20090430-278-220-1-901,1,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,1054408,-39069812
1238,0001-20090430-278-220-1-901,4,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,1246560,-40316372
1241,0001-20090430-278-220-1-901,7,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,1260302,-41576674
1244,0001-20090430-278-220-1-901,10,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,818910,-42395584
1247,0001-20090430-278-220-1-901,13,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,845757,-43241341
1250,0001-20090430-278-220-1-901,16,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,883909,-44125250
1257,0001-20090430-279-221-1-903,1,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,736072,-44861322
1260,0001-20090430-279-221-1-903,4,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,1200768,-46062090
1263,0001-20090430-279-221-1-903,7,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,942912,-47005002
1266,0001-20090430-279-221-1-903,10,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,1202528,-48207530
