num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,521,売上値引戻り高,,0,1257444,-1257444
1222,0001-20090430-277-219-1-899,22,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,70720,-70720
1228,0001-20090430-277-219-1-899,28,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,38736,-109456
1253,0001-20090430-278-220-1-901,19,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,34000,-143456
1281,0001-20090430-279-221-1-903,25,2009-04-30,152,売掛金,09年4月1日～09年4月30日分売上,0,24480,-167936
,,,2009-04,,※※月計※※,,0,167936,
2701,0001-20090531-114-451-1-1363,10,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,101952,-269888
2704,0001-20090531-114-451-1-1363,13,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,40800,-310688
2735,0001-20090531-115-452-1-1365,28,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,32640,-343328
2738,0001-20090531-115-452-1-1365,31,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,26496,-369824
2741,0001-20090531-115-452-1-1365,34,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,38736,-408560
2744,0001-20090531-115-452-1-1365,37,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,58400,-466960
2766,0001-20090531-116-453-1-1367,19,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,74240,-541200
2799,0001-20090531-117-454-1-1369,25,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,31440,-572640
2802,0001-20090531-117-454-1-1369,28,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,21600,-594240
2805,0001-20090531-117-454-1-1369,31,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,18000,-612240
2821,0001-20090531-118-455-1-1371,13,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,35200,-647440
2824,0001-20090531-118-455-1-1371,16,2009-05-31,152,売掛金,09年5月1日～09年5月31日分売上,0,24960,-672400
,,,2009-05,,※※月計※※,,0,504464,
4198,0001-20090630-120-680-1-1821,10,2009-06-30,152,売掛金,09年6月1日～09年6月30日分売上,0,66560,-738960
4229,0001-20090630-121-681-1-1823,28,2009-06-30,152,売掛金,09年6月1日～09年6月30日分売上,0,40500,-779460
4232,0001-20090630-121-681-1-1823,31,2009-06-30,152,売掛金,09年6月1日～09年6月30日分売上,0,64752,-844212
4254,0001-20090630-122-682-1-1825,19,2009-06-30,152,売掛金,09年6月1日～09年6月30日分売上,0,23376,-867588
4282,0001-20090630-123-683-1-1827,25,2009-06-30,152,売掛金,09年6月1日～09年6月30日分売上,0,28800,-896388
4285,0001-20090630-123-683-1-1827,28,2009-06-30,152,売掛金,09年6月1日～09年6月30日分売上,0,26496,-922884
4301,0001-20090630-124-684-1-1829,13,2009-06-30,152,売掛金,09年6月1日～09年6月30日分売上,0,21600,-944484
,,,2009-06,,※※月計※※,,0,272084,
5844,0001-20090731-113-913-1-2287,10,2009-07-31,152,売掛金,09年7月1日～09年7月31日分売上,0,32640,-977124
5847,0001-20090731-113-913-1-2287,13,2009-07-31,152,売掛金,09年7月1日～09年7月31日分売上,0,63360,-1040484
5872,0001-20090731-114-914-1-2289,22,2009-07-31,152,売掛金,09年7月1日～09年7月31日分売上,0,64000,-1104484
5875,0001-20090731-114-914-1-2289,25,2009-07-31,152,売掛金,09年7月1日～09年7月31日分売上,0,36000,-1140484
5884,0001-20090731-114-914-1-2289,34,2009-07-31,152,売掛金,09年7月1日～09年7月31日分売上,0,50400,-1190884
5931,0001-20090731-116-916-1-2293,25,2009-07-31,152,売掛金,09年7月1日～09年7月31日分売上,0,66560,-1257444
,,,2009-07,,※※月計※※,,0,312960,-1257444
