num,GL02,GL02-GL55,date,contra_account,contra_account_name,note,debit_amount,credit_amount,balance
,,,,713,賞与,,11082000,0,11082000
4597,0001-20090630-92-674-1-1809,1,2009-06-30,131,普通預金,6月賞与その他 0020 営業部,1246323,0,1246323
4600,0001-20090630-92-674-1-1809,2,2009-06-30,326,預り金,6月賞与その他 0020 営業部,185182,0,1431505
4603,0001-20090630-92-674-1-1809,3,2009-06-30,326,預り金,6月賞与その他 0020 営業部,129075,0,1560580
4606,0001-20090630-92-674-1-1809,4,2009-06-30,326,預り金,6月賞与その他 0020 営業部,9420,0,1570000
4610,0001-20090630-92-674-1-1809,6,2009-06-30,131,普通預金,6月賞与その他 1000 札幌営業所,526495,0,2096495
4613,0001-20090630-92-674-1-1809,7,2009-06-30,326,預り金,6月賞与その他 1000 札幌営業所,77070,0,2173565
4616,0001-20090630-92-674-1-1809,8,2009-06-30,326,預り金,6月賞与その他 1000 札幌営業所,52475,0,2226040
4619,0001-20090630-92-674-1-1809,9,2009-06-30,326,預り金,6月賞与その他 1000 札幌営業所,3960,0,2230000
4623,0001-20090630-92-674-1-1809,11,2009-06-30,131,普通預金,6月賞与その他 3000 名古屋営業所,492891,0,2722891
4626,0001-20090630-92-674-1-1809,12,2009-06-30,326,預り金,6月賞与その他 3000 名古屋営業所,72997,0,2795888
4629,0001-20090630-92-674-1-1809,13,2009-06-30,326,預り金,6月賞与その他 3000 名古屋営業所,46416,0,2842304
4632,0001-20090630-92-674-1-1809,14,2009-06-30,326,預り金,6月賞与その他 3000 名古屋営業所,3696,0,2846000
4636,0001-20090630-92-674-1-1809,16,2009-06-30,131,普通預金,6月賞与その他 4000 大阪支店,570872,0,3416872
4639,0001-20090630-92-674-1-1809,17,2009-06-30,326,預り金,6月賞与その他 4000 大阪支店,84304,0,3501176
4642,0001-20090630-92-674-1-1809,18,2009-06-30,326,預り金,6月賞与その他 4000 大阪支店,62492,0,3563668
4645,0001-20090630-92-674-1-1809,19,2009-06-30,326,預り金,6月賞与その他 4000 大阪支店,4332,0,3568000
4649,0001-20090630-92-674-1-1809,21,2009-06-30,131,普通預金,6月賞与その他 5000 九州営業所,376270,0,3944270
4652,0001-20090630-92-674-1-1809,22,2009-06-30,326,預り金,6月賞与その他 5000 九州営業所,54135,0,3998405
4655,0001-20090630-92-674-1-1809,23,2009-06-30,326,預り金,6月賞与その他 5000 九州営業所,40751,0,4039156
4658,0001-20090630-92-674-1-1809,24,2009-06-30,326,預り金,6月賞与その他 5000 九州営業所,2844,0,4042000
,,,2009-06,,※※月計※※,,4042000,0,
13148,0001-20091225-93-2035-1-4531,1,2009-12-25,131,普通預金,12月賞与その他 0020 営業部,2083153,0,6125153
13151,0001-20091225-93-2035-1-4531,2,2009-12-25,326,預り金,12月賞与その他 0020 営業部,324331,0,6449484
13154,0001-20091225-93-2035-1-4531,3,2009-12-25,326,預り金,12月賞与その他 0020 営業部,286256,0,6735740
13157,0001-20091225-93-2035-1-4531,4,2009-12-25,326,預り金,12月賞与その他 0020 営業部,16260,0,6752000
13161,0001-20091225-93-2035-1-4531,6,2009-12-25,131,普通預金,12月賞与その他 1000 札幌営業所,904516,0,7656516
13164,0001-20091225-93-2035-1-4531,7,2009-12-25,326,預り金,12月賞与その他 1000 札幌営業所,135169,0,7791685
13167,0001-20091225-93-2035-1-4531,8,2009-12-25,326,預り金,12月賞与その他 1000 札幌営業所,93475,0,7885160
13170,0001-20091225-93-2035-1-4531,9,2009-12-25,326,預り金,12月賞与その他 1000 札幌営業所,6840,0,7892000
13174,0001-20091225-93-2035-1-4531,11,2009-12-25,131,普通預金,12月賞与その他 3000 名古屋営業所,841345,0,8733345
13177,0001-20091225-93-2035-1-4531,12,2009-12-25,326,預り金,12月賞与その他 3000 名古屋営業所,128711,0,8862056
13180,0001-20091225-93-2035-1-4531,13,2009-12-25,326,預り金,12月賞与その他 3000 名古屋営業所,93524,0,8955580
13183,0001-20091225-93-2035-1-4531,14,2009-12-25,326,預り金,12月賞与その他 3000 名古屋営業所,6420,0,8962000
13187,0001-20091225-93-2035-1-4531,16,2009-12-25,131,普通預金,12月賞与その他 4000 大阪支店,986621,0,9948621
13190,0001-20091225-93-2035-1-4531,17,2009-12-25,326,預り金,12月賞与その他 4000 大阪支店,154156,0,10102777
13193,0001-20091225-93-2035-1-4531,18,2009-12-25,326,預り金,12月賞与その他 4000 大阪支店,151423,0,10254200
13196,0001-20091225-93-2035-1-4531,19,2009-12-25,326,預り金,12月賞与その他 4000 大阪支店,7800,0,10262000
13200,0001-20091225-93-2035-1-4531,21,2009-12-25,131,普通預金,12月賞与その他 5000 九州営業所,641658,0,10903658
13203,0001-20091225-93-2035-1-4531,22,2009-12-25,326,預り金,12月賞与その他 5000 九州営業所,95104,0,10998762
13206,0001-20091225-93-2035-1-4531,23,2009-12-25,326,預り金,12月賞与その他 5000 九州営業所,78318,0,11077080
13209,0001-20091225-93-2035-1-4531,24,2009-12-25,326,預り金,12月賞与その他 5000 九州営業所,4920,0,11082000
,,,2009-12,,※※月計※※,12月賞与その他 5000 九州営業所,7040000,0,11082000
