num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,723,法定福利費,,11283984,0,11283984
1161,0001-20090430-230-213-1-887,2,2009-04-30,131,普通預金,保険料　事業主負担分,111192,0,111192
1162,0001-20090430-230-213-1-887,3,2009-04-30,131,普通預金,保険料　事業主負担分,236635,0,347827
1163,0001-20090430-230-213-1-887,4,2009-04-30,131,普通預金,保険料　事業主負担分,100704,0,448531
1164,0001-20090430-230-213-1-887,5,2009-04-30,131,普通預金,保険料　事業主負担分,92652,0,541183
1165,0001-20090430-230-213-1-887,6,2009-04-30,131,普通預金,保険料　事業主負担分,126826,0,668009
1166,0001-20090430-230-213-1-887,7,2009-04-30,131,普通預金,保険料　事業主負担分,66245,0,734254
1167,0001-20090430-230-213-1-887,8,2009-04-30,131,普通預金,児童拠出金　事業主負担分,9672,0,743926
,,,2009-04,,※※月計※※,,743926,0,
3063,0001-20090531-208-485-1-1431,2,2009-05-31,131,普通預金,保険料　事業主負担分,111192,0,855118
3064,0001-20090531-208-485-1-1431,3,2009-05-31,131,普通預金,保険料　事業主負担分,236635,0,1091753
3065,0001-20090531-208-485-1-1431,4,2009-05-31,131,普通預金,保険料　事業主負担分,100704,0,1192457
3066,0001-20090531-208-485-1-1431,5,2009-05-31,131,普通預金,保険料　事業主負担分,92652,0,1285109
3067,0001-20090531-208-485-1-1431,6,2009-05-31,131,普通預金,保険料　事業主負担分,147385,0,1432494
3068,0001-20090531-208-485-1-1431,7,2009-05-31,131,普通預金,保険料　事業主負担分,66245,0,1498739
3069,0001-20090531-208-485-1-1431,8,2009-05-31,131,普通預金,児童拠出金　事業主負担分,9672,0,1508411
,,,2009-05,,※※月計※※,,764485,0,
4175,0001-20090630-100-678-1-1817,5,2009-06-30,131,普通預金,保険料　事業主負担分,111192,0,1619603
4176,0001-20090630-100-678-1-1817,6,2009-06-30,131,普通預金,保険料　事業主負担分,216077,0,1835680
4177,0001-20090630-100-678-1-1817,7,2009-06-30,131,普通預金,保険料　事業主負担分,100704,0,1936384
4178,0001-20090630-100-678-1-1817,8,2009-06-30,131,普通預金,保険料　事業主負担分,92652,0,2029036
4179,0001-20090630-100-678-1-1817,9,2009-06-30,131,普通預金,保険料　事業主負担分,147385,0,2176421
4180,0001-20090630-100-678-1-1817,10,2009-06-30,131,普通預金,保険料　事業主負担分,66245,0,2242666
4181,0001-20090630-100-678-1-1817,11,2009-06-30,131,普通預金,児童拠出金　事業主負担分,9672,0,2252338
,,,2009-06,,※※月計※※,,743927,0,
6176,0001-20090731-74-906-1-2273,2,2009-07-31,131,普通預金,保険料　事業主負担分,111192,0,2363530
