num,GL02,GL02-GL55,date,contra_account,contra_account_name,note,debit_amount,credit_amount,balance
,,,,727,通信費,,12636815,0,12636815
10,0001-20090402-122-5-1-471,0,2009-04-02,111,現金,証明書発行手数料,1000,0,1000
99,0001-20090406-123-21-1-503,0,2009-04-06,111,現金,切手代,38096,0,39096
129,0001-20090406-84-18-1-497,0,2009-04-06,111,現金,切手代,66667,0,105763
179,0001-20090410-112-40-1-541,0,2009-04-10,131,普通預金,電話代,235063,0,340826
210,0001-20090410-167-45-1-551,3,2009-04-10,131,普通預金,電話代,158107,0,498933
294,0001-20090410-33-38-1-537,3,2009-04-10,131,普通預金,電話代,156315,0,655248
300,0001-20090410-85-39-1-539,0,2009-04-10,131,普通預金,電話代,123037,0,778285
478,0001-20090416-61-86-1-633,0,2009-04-16,131,普通預金,電話代,161271,0,939556
786,0001-20090423-86-145-1-751,0,2009-04-23,111,現金,切手代,66667,0,1006223
808,0001-20090425-113-157-1-775,0,2009-04-25,131,普通預金,携帯代,55745,0,1061968
837,0001-20090425-171-163-1-787,0,2009-04-25,131,普通預金,携帯代,40099,0,1102067
985,0001-20090425-29-152-1-765,0,2009-04-25,131,普通預金,携帯電話代,61642,0,1163709
995,0001-20090425-87-154-1-769,0,2009-04-25,131,普通預金,携帯代,36387,0,1200096
1035,0001-20090426-62-170-1-801,0,2009-04-26,131,普通預金,携帯代,51768,0,1251864
,,,2009-04,,※※月計※※,,1251864,0,
1586,0001-20090502-122-248-1-957,0,2009-05-02,111,現金,証明書発行手数料,1000,0,1252864
1716,0001-20090509-84-277-1-1015,0,2009-05-09,111,現金,切手代,45410,0,1298274
1807,0001-20090511-112-301-1-1063,0,2009-05-11,131,普通預金,電話代,187004,0,1485278
1828,0001-20090511-167-304-1-1069,3,2009-05-11,131,普通預金,電話代,146145,0,1631423
1839,0001-20090511-33-294-1-1049,3,2009-05-11,131,普通預金,電話代,177288,0,1808711
1845,0001-20090511-61-295-1-1051,0,2009-05-11,131,普通預金,電話代,175490,0,1984201
1872,0001-20090511-85-300-1-1061,0,2009-05-11,131,普通預金,電話代,90712,0,2074913
2354,0001-20090525-29-392-1-1245,0,2009-05-25,131,普通預金,携帯電話代,61755,0,2136668
2372,0001-20090525-86-394-1-1249,0,2009-05-25,111,現金,切手代,7620,0,2144288
2494,0001-20090526-113-410-1-1281,0,2009-05-26,131,普通預金,携帯代,37385,0,2181673
2512,0001-20090526-171-413-1-1287,0,2009-05-26,131,普通預金,携帯代,82380,0,2264053
2546,0001-20090526-87-409-1-1279,0,2009-05-26,131,普通預金,携帯代,40626,0,2304679
2580,0001-20090527-62-418-1-1297,0,2009-05-27,131,普通預金,携帯代,62290,0,2366969
,,,2009-05,,※※月計※※,,1115105,0,
3212,0001-20090606-122-503-1-1467,0,2009-06-06,111,現金,証明書発行手数料,1000,0,2367969
3230,0001-20090606-84-501-1-1463,0,2009-06-06,111,現金,切手代,3810,0,2371779
3268,0001-20090609-112-516-1-1493,0,2009-06-09,131,普通預金,電話代,205312,0,2577091
3285,0001-20090609-167-518-1-1497,3,2009-06-09,131,普通預金,電話代,142243,0,2719334
3296,0001-20090609-33-513-1-1487,3,2009-06-09,131,普通預金,電話代,117572,0,2836906
3382,0001-20090610-85-526-1-1513,0,2009-06-10,131,普通預金,電話代,72901,0,2909807
3543,0001-20090615-61-552-1-1565,0,2009-06-15,131,普通預金,電話代,161474,0,3071281
3575,0001-20090617-86-567-1-1595,0,2009-06-17,111,現金,切手代,7620,0,3078901
3861,0001-20090624-29-623-1-1707,0,2009-06-24,131,普通預金,携帯電話代,47192,0,3126093
3910,0001-20090625-171-639-1-1739,0,2009-06-25,131,普通預金,携帯代,40099,0,3166192
3928,0001-20090625-62-629-1-1719,0,2009-06-25,131,普通預金,携帯代,120554,0,3286746
4057,0001-20090626-113-646-1-1753,0,2009-06-26,131,普通預金,携帯代,58442,0,3345188
4100,0001-20090626-87-644-1-1749,0,2009-06-26,131,普通預金,携帯代,40536,0,3385724
,,,2009-06,,※※月計※※,,1018755,0,
