num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,728,業務委託費,,25865965,0,25865965
829,0001-20090425-146-161-1-783,0,2009-04-25,322,未払金,業務委託費,140000,0,140000
843,0001-20090425-172-164-1-789,0,2009-04-25,322,未払金,業務委託費支払い,134286,0,274286
1009,0001-20090426-120-174-1-809,0,2009-04-26,322,未払金,業務委託費,500000,0,774286
1041,0001-20090426-78-171-1-803,0,2009-04-26,322,未払金,業務委託費支払い,180000,0,954286
1070,0001-20090427-37-183-1-827,0,2009-04-27,322,未払金,業務委託費,1203810,0,2158096
,,,2009-04,,※※月計※※,,2158096,0,
2304,0001-20090524-120-389-1-1239,0,2009-05-24,322,未払金,業務委託費,400000,0,2558096
2308,0001-20090524-37-387-1-1235,0,2009-05-24,322,未払金,業務委託費,1135715,0,3693811
2350,0001-20090525-172-402-1-1265,0,2009-05-25,322,未払金,業務委託費支払い,89524,0,3783335
2504,0001-20090526-146-411-1-1283,0,2009-05-26,322,未払金,業務委託費,140000,0,3923335
2538,0001-20090526-78-407-1-1275,0,2009-05-26,322,未払金,業務委託費支払い,180000,0,4103335
,,,2009-05,,※※月計※※,,1945239,0,
4069,0001-20090626-120-648-1-1757,0,2009-06-26,322,未払金,業務委託費,450000,0,4553335
4085,0001-20090626-146-650-1-1761,0,2009-06-26,322,未払金,業務委託費,140000,0,4693335
4089,0001-20090626-172-651-1-1763,0,2009-06-26,322,未払金,業務委託費支払い,138096,0,4831431
4093,0001-20090626-37-642-1-1745,0,2009-06-26,322,未払金,業務委託費,1257143,0,6088574
4126,0001-20090627-78-655-1-1771,0,2009-06-27,322,未払金,業務委託費支払い,180000,0,6268574
,,,2009-06,,※※月計※※,,2165239,0,
5433,0001-20090724-172-852-1-2165,0,2009-07-24,322,未払金,業務委託費支払い,125715,0,6394289
5531,0001-20090725-78-858-1-2177,0,2009-07-25,322,未払金,業務委託費支払い,180000,0,6574289
5670,0001-20090726-120-877-1-2215,0,2009-07-26,322,未払金,業務委託費,320000,0,6894289
