num,GL02,GL02-GL55,date,contra_account,contra_account_name,note,debit_amount,credit_amount,balance
,,,,731,運賃,,50548296,0,50548296
1049,0001-20090427-1-177-1-815,0,2009-04-27,322,未払金,運賃　佐川急便,85543,0,85543
1146,0001-20090430-145-211-1-883,0,2009-04-30,322,未払金,運賃,145334,0,230877
1490,0001-20090430-36-190-1-841,0,2009-04-30,322,未払金,運賃　ヤマト運輸,1536351,0,1767228
1493,0001-20090430-36-190-1-841,3,2009-04-30,322,未払金,運賃　佐川急便,1041181,0,2808409
1552,0001-20090430-77-199-1-859,0,2009-04-30,322,未払金,運賃,167205,0,2975614
1574,0001-20090430-99-204-1-869,0,2009-04-30,322,未払金,運賃,556791,0,3532405
,,,2009-04,,※※月計※※,,3532405,0,
2687,0001-20090531-1-436-1-1333,0,2009-05-31,322,未払金,運賃　佐川急便,84896,0,3617301
3017,0001-20090531-145-478-1-1417,0,2009-05-31,322,未払金,運賃,162762,0,3780063
3071,0001-20090531-36-437-1-1335,0,2009-05-31,322,未払金,運賃　ヤマト運輸,1456324,0,5236387
3074,0001-20090531-36-437-1-1335,3,2009-05-31,322,未払金,運賃　佐川急便,952915,0,6189302
3120,0001-20090531-77-447-1-1355,0,2009-05-31,322,未払金,運賃　ヤマト運輸,145262,0,6334564
3133,0001-20090531-99-450-1-1361,0,2009-05-31,322,未払金,運賃,712715,0,7047279
,,,2009-05,,※※月計※※,,3514874,0,
4162,0001-20090630-1-662-1-1785,0,2009-06-30,322,未払金,運賃　佐川急便,58429,0,7105708
4495,0001-20090630-145-705-1-1871,0,2009-06-30,322,未払金,運賃,135667,0,7241375
4533,0001-20090630-36-663-1-1787,0,2009-06-30,322,未払金,運賃　ヤマト運輸,1637000,0,8878375
4536,0001-20090630-36-663-1-1787,3,2009-06-30,322,未払金,運賃　佐川急便,805743,0,9684118
4571,0001-20090630-77-669-1-1799,0,2009-06-30,322,未払金,運賃,142158,0,9826276
4673,0001-20090630-99-677-1-1815,0,2009-06-30,322,未払金,運賃,583267,0,10409543
,,,2009-06,,※※月計※※,,3362264,0,
5830,0001-20090731-1-902-1-2265,0,2009-07-31,322,未払金,運賃　佐川急便,155048,0,10564591
6133,0001-20090731-145-940-1-2341,0,2009-07-31,322,未払金,運賃,157334,0,10721925
6154,0001-20090731-36-903-1-2267,0,2009-07-31,322,未払金,運賃　ヤマト運輸,1835020,0,12556945
6157,0001-20090731-36-903-1-2267,3,2009-07-31,322,未払金,運賃　佐川急便,964048,0,13520993
6194,0001-20090731-77-909-1-2279,0,2009-07-31,322,未払金,運賃,119581,0,13640574
6210,0001-20090731-99-912-1-2285,0,2009-07-31,322,未払金,運賃,719239,0,14359813
,,,2009-07,,※※月計※※,,3950270,0,
7318,0001-20090830-99-1126-1-2713,0,2009-08-30,322,未払金,運賃,651905,0,15011718
7322,0001-20090831-1-1131-1-2723,0,2009-08-31,322,未払金,運賃　佐川急便,84124,0,15095842
7609,0001-20090831-145-1173-1-2807,0,2009-08-31,322,未払金,運賃,119453,0,15215295
7613,0001-20090831-36-1132-1-2725,0,2009-08-31,322,未払金,運賃　ヤマト運輸,1618610,0,16833905
7616,0001-20090831-36-1132-1-2725,3,2009-08-31,322,未払金,運賃　佐川急便,916715,0,17750620
7664,0001-20090831-77-1139-1-2739,0,2009-08-31,322,未払金,運賃,138734,0,17889354
,,,2009-08,,※※月計※※,,3529541,0,
8730,0001-20090930-1-1353-1-3167,0,2009-09-30,322,未払金,運賃　佐川急便,125296,0,18014650
9003,0001-20090930-145-1399-1-3259,0,2009-09-30,322,未払金,運賃,132515,0,18147165
9040,0001-20090930-36-1356-1-3173,0,2009-09-30,322,未払金,運賃　ヤマト運輸,1650467,0,19797632
9043,0001-20090930-36-1356-1-3173,3,2009-09-30,322,未払金,運賃　佐川急便,810324,0,20607956
9105,0001-20090930-77-1364-1-3189,2,2009-09-30,322,未払金,運賃,157543,0,20765499
9131,0001-20090930-99-1369-1-3199,0,2009-09-30,322,未払金,運賃,601943,0,21367442
,,,2009-09,,※※月計※※,,3478088,0,
10243,0001-20091031-1-1590-1-3641,0,2009-10-31,322,未払金,運賃　佐川急便,204753,0,21572195
10548,0001-20091031-145-1635-1-3731,0,2009-10-31,322,未払金,運賃,145429,0,21717624
10552,0001-20091031-36-1591-1-3643,0,2009-10-31,322,未払金,運賃　ヤマト運輸,1633000,0,23350624
10555,0001-20091031-36-1591-1-3643,3,2009-10-31,322,未払金,運賃　佐川急便,922305,0,24272929
10590,0001-20091031-77-1599-1-3659,0,2009-10-31,322,未払金,運賃,164620,0,24437549
10610,0001-20091031-99-1603-1-3667,0,2009-10-31,322,未払金,運賃,680115,0,25117664
,,,2009-10,,※※月計※※,,3750222,0,
11703,0001-20091130-1-1820-1-4101,0,2009-11-30,322,未払金,運賃　佐川急便,363686,0,25481350
12007,0001-20091130-145-1868-1-4197,0,2009-11-30,322,未払金,運賃,133715,0,25615065
12027,0001-20091130-36-1822-1-4105,0,2009-11-30,322,未払金,運賃　ヤマト運輸,1723867,0,27338932
12030,0001-20091130-36-1822-1-4105,3,2009-11-30,322,未払金,運賃　佐川急便,1281581,0,28620513
12099,0001-20091130-77-1833-1-4127,0,2009-11-30,322,未払金,運賃,187229,0,28807742
12114,0001-20091130-99-1836-1-4133,0,2009-11-30,322,未払金,運賃,805810,0,29613552
,,,2009-11,,※※月計※※,,4495888,0,
13277,0001-20091228-1-2057-1-4575,0,2009-12-28,322,未払金,運賃　佐川急便,554572,0,30168124
13285,0001-20091228-145-2068-1-4597,0,2009-12-28,322,未払金,運賃,309715,0,30477839
13297,0001-20091228-36-2060-1-4581,0,2009-12-28,322,未払金,運賃　ヤマト運輸,2737239,0,33215078
13300,0001-20091228-36-2060-1-4581,3,2009-12-28,322,未払金,運賃　佐川急便,1669467,0,34884545
13320,0001-20091228-77-2064-1-4589,0,2009-12-28,322,未払金,運賃,334620,0,35219165
13330,0001-20091228-99-2066-1-4593,0,2009-12-28,322,未払金,運賃,1567343,0,36786508
,,,2009-12,,※※月計※※,,7172956,0,
14887,0001-20100131-1-2304-1-5069,0,2010-01-31,322,未払金,運賃　佐川急便,507191,0,37293699
15193,0001-20100131-145-2347-1-5155,3,2010-01-31,322,未払金,運賃,161505,0,37455204
15214,0001-20100131-36-2306-1-5073,0,2010-01-31,322,未払金,運賃　ヤマト運輸,2709067,0,40164271
15217,0001-20100131-36-2306-1-5073,3,2010-01-31,322,未払金,運賃　佐川急便,1203372,0,41367643
15261,0001-20100131-77-2314-1-5089,0,2010-01-31,322,未払金,運賃,209210,0,41576853
15265,0001-20100131-99-2315-1-5091,0,2010-01-31,322,未払金,運賃,1358486,0,42935339
,,,2010-01,,※※月計※※,,6148831,0,
16294,0001-20100228-1-2531-1-5523,0,2010-02-28,322,未払金,運賃　佐川急便,123648,0,43058987
16628,0001-20100228-145-2578-1-5617,0,2010-02-28,322,未払金,運賃,160143,0,43219130
16644,0001-20100228-36-2533-1-5527,0,2010-02-28,322,未払金,運賃　ヤマト運輸,1568981,0,44788111
16647,0001-20100228-36-2533-1-5527,3,2010-02-28,322,未払金,運賃　佐川急便,733172,0,45521283
16715,0001-20100228-77-2541-1-5543,0,2010-02-28,322,未払金,運賃,134877,0,45656160
16740,0001-20100228-99-2545-1-5551,0,2010-02-28,322,未払金,運賃,760600,0,46416760
,,,2010-02,,※※月計※※,,3481421,0,
17849,0001-20100331-1-2766-1-5993,0,2010-03-31,322,未払金,運賃　佐川急便,232581,0,46649341
18164,0001-20100331-145-2816-1-6093,0,2010-03-31,322,未払金,運賃,605334,0,47254675
18218,0001-20100331-36-2770-1-6001,0,2010-03-31,322,未払金,運賃　ヤマト運輸,1376962,0,48631637
18221,0001-20100331-36-2770-1-6001,3,2010-03-31,322,未払金,運賃　佐川急便,792839,0,49424476
18297,0001-20100331-77-2780-1-6021,0,2010-03-31,322,未払金,運賃,192953,0,49617429
18331,0001-20100331-99-2784-1-6029,0,2010-03-31,322,未払金,運賃,930867,0,50548296
,,,2010-03,,※※月計※※,運賃,4131536,0,50548296
