num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,736,水道光熱費,,7138144,0,7138144
527,0001-20090420-132-111-1-683,0,2009-04-20,131,普通預金,電気代,113565,0,113565
532,0001-20090420-132-111-1-683,3,2009-04-20,131,普通預金,水道代,6229,0,119794
552,0001-20090420-169-116-1-693,0,2009-04-20,131,普通預金,電気料,120483,0,240277
557,0001-20090420-169-116-1-693,3,2009-04-20,131,普通預金,水道料,5303,0,245580
618,0001-20090420-34-99-1-659,0,2009-04-20,131,普通預金,電気代,91629,0,337209
623,0001-20090420-34-99-1-659,3,2009-04-20,131,普通預金,水道代,4143,0,341352
646,0001-20090420-64-103-1-667,0,2009-04-20,131,普通預金,電気料,174650,0,516002
651,0001-20090420-64-103-1-667,3,2009-04-20,131,普通預金,水道料,8991,0,524993
668,0001-20090420-89-105-1-671,0,2009-04-20,131,普通預金,電気料,82388,0,607381
673,0001-20090420-89-105-1-671,3,2009-04-20,131,普通預金,水道料,3758,0,611139
675,0001-20090420-89-105-1-671,5,2009-04-20,131,普通預金,ガス代,3903,0,615042
,,,2009-04,,※※月計※※,,615042,0,
2165,0001-20090521-132-365-1-1191,0,2009-05-21,131,普通預金,電気代,156512,0,771554
2170,0001-20090521-132-365-1-1191,3,2009-05-21,131,普通預金,水道代,7740,0,779294
2184,0001-20090521-169-369-1-1199,0,2009-05-21,131,普通預金,電気料,109906,0,889200
2189,0001-20090521-169-369-1-1199,3,2009-05-21,131,普通預金,水道料,6266,0,895466
2196,0001-20090521-34-361-1-1183,0,2009-05-21,131,普通預金,電気代,92672,0,988138
2201,0001-20090521-34-361-1-1183,3,2009-05-21,131,普通預金,水道代,5913,0,994051
2208,0001-20090521-64-363-1-1187,0,2009-05-21,131,普通預金,電気料,163192,0,1157243
2213,0001-20090521-64-363-1-1187,3,2009-05-21,131,普通預金,水道料,8149,0,1165392
2216,0001-20090521-89-364-1-1189,0,2009-05-21,131,普通預金,電気料,84438,0,1249830
2221,0001-20090521-89-364-1-1189,3,2009-05-21,131,普通預金,水道料,5680,0,1255510
