num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,738,租税公課,,267000,0,267000
104,0001-20090406-124-22-1-505,1,2009-04-06,111,現金,収入印紙,6000,0,6000
691,0001-20090421-126-128-1-717,1,2009-04-21,111,現金,収入印紙,40000,0,46000
1124,0001-20090430-128-208-1-877,1,2009-04-30,111,現金,収入印紙,10000,0,56000
,,,2009-04,,※※月計※※,,56000,0,
1591,0001-20090502-124-249-1-959,1,2009-05-02,111,現金,収入印紙,6000,0,62000
1733,0001-20090510-150-291-1-1043,4,2009-05-10,111,現金,収入印紙,20000,0,82000
1879,0001-20090512-125-306-1-1073,1,2009-05-12,111,現金,収入印紙,40000,0,122000
,,,2009-05,,※※月計※※,,66000,0,
4111,0001-20090627-127-656-1-1773,1,2009-06-27,111,現金,収入印紙,9000,0,131000
4324,0001-20090630-128-688-1-1837,1,2009-06-30,111,現金,収入印紙,4000,0,135000
,,,2009-06,,※※月計※※,,13000,0,
6843,0001-20090821-126-1065-1-2591,1,2009-08-21,111,現金,収入印紙,40000,0,175000
,,,2009-08,,※※月計※※,,40000,0,
8877,0001-20090930-128-1383-1-3227,1,2009-09-30,111,現金,収入印紙,2000,0,177000
,,,2009-09,,※※月計※※,,2000,0,
9945,0001-20091025-173-1561-1-3583,1,2009-10-25,111,現金,収入印紙代,10000,0,187000
,,,2009-10,,※※月計※※,,10000,0,
12414,0001-20091211-127-1926-1-4313,1,2009-12-11,111,現金,収入印紙,2000,0,189000
12791,0001-20091221-126-2002-1-4465,1,2009-12-21,111,現金,収入印紙,40000,0,229000
13364,0001-20091230-128-2075-1-4611,1,2009-12-30,111,現金,収入印紙,10000,0,239000
,,,2009-12,,※※月計※※,,52000,0,
13802,0001-20100106-124-2125-1-4711,1,2010-01-06,111,現金,収入印紙,2000,0,241000
14422,0001-20100121-126-2243-1-4947,1,2010-01-21,111,現金,収入印紙,2000,0,243000
,,,2010-01,,※※月計※※,,4000,0,
17690,0001-20100325-173-2737-1-5935,1,2010-03-25,111,現金,収入印紙代,24000,0,267000
,,,2010-03,,※※月計※※,,24000,0,267000
