num,GL02,GL02-GL55,date,contra_account,contra_account_name,note,debit_amount,credit_amount,balance
,,,,740,車両費,,7285803,0,7285803
14,0001-20090402-142-6-1-473,0,2009-04-02,111,現金,高速代,2458,0,2458
17,0001-20090402-142-6-1-473,3,2009-04-02,111,現金,駐車代,591,0,3049
19,0001-20090402-142-6-1-473,5,2009-04-02,111,現金,ガソリン代,4620,0,7669
21,0001-20090402-142-6-1-473,7,2009-04-02,111,現金,洗車券代,5715,0,13384
39,0001-20090404-310-9-1-479,0,2009-04-04,111,現金,ガソリン代,6486,0,19870
42,0001-20090404-310-9-1-479,3,2009-04-04,111,現金,高速代,9715,0,29585
44,0001-20090404-310-9-1-479,5,2009-04-04,111,現金,駐車代,1200,0,30785
85,0001-20090406-10-16-1-493,0,2009-04-06,111,現金,ガソリン代,4023,0,34808
106,0001-20090406-147-23-1-507,0,2009-04-06,322,未払金,ガソリン代,4882,0,39690
171,0001-20090408-143-37-1-535,0,2009-04-08,111,現金,ガソリン代,6796,0,46486
175,0001-20090408-50-36-1-533,0,2009-04-08,111,現金,高速代,1143,0,47629
325,0001-20090412-155-62-1-585,0,2009-04-12,111,現金,ガソリン代,4500,0,52129
328,0001-20090412-155-62-1-585,3,2009-04-12,111,現金,駐車代,572,0,52701
337,0001-20090412-311-64-1-589,0,2009-04-12,111,現金,タイヤ交換,70477,0,123178
341,0001-20090413-11-65-1-591,0,2009-04-13,111,現金,ガソリン代,3058,0,126236
345,0001-20090413-144-67-1-595,0,2009-04-13,111,現金,ウォッシャー液代,572,0,126808
348,0001-20090413-144-67-1-595,3,2009-04-13,111,現金,高速代,2286,0,129094
350,0001-20090413-144-67-1-595,5,2009-04-13,111,現金,ガソリン代,5833,0,134927
361,0001-20090413-17-66-1-593,0,2009-04-13,111,現金,ウォッシャー液,351,0,135278
364,0001-20090413-17-66-1-593,3,2009-04-13,111,現金,駐車代,762,0,136040
375,0001-20090414-46-71-1-603,0,2009-04-14,111,現金,ガソリン代,2341,0,138381
