num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,744,リース料,,3358296,0,3358296
1117,0001-20090430-116-207-1-875,0,2009-04-30,131,普通預金,リース料,80000,0,80000
1534,0001-20090430-66-196-1-853,0,2009-04-30,131,普通預金,リース料,199858,0,279858
,,,2009-04,,※※月計※※,,279858,0,
2768,0001-20090531-116-453-1-1367,21,2009-05-31,131,普通預金,リース料,80000,0,359858
3094,0001-20090531-66-442-1-1345,0,2009-05-31,131,普通預金,リース料,199858,0,559716
,,,2009-05,,※※月計※※,,279858,0,
4677,0001-20090701-116-714-1-1889,0,2009-07-01,131,普通預金,リース料,80000,0,639716
4687,0001-20090701-66-711-1-1883,0,2009-07-01,131,普通預金,リース料,199858,0,839574
5933,0001-20090731-116-916-1-2293,27,2009-07-31,131,普通預金,リース料,80000,0,919574
6164,0001-20090731-66-905-1-2271,0,2009-07-31,131,普通預金,リース料,199858,0,1119432
,,,2009-07,,※※月計※※,,559716,0,
7440,0001-20090831-116-1149-1-2759,5,2009-08-31,131,普通預金,リース料,80000,0,1199432
7641,0001-20090831-66-1135-1-2731,0,2009-08-31,131,普通預金,リース料,199858,0,1399290
,,,2009-08,,※※月計※※,,279858,0,
9135,0001-20091001-116-1407-1-3275,0,2009-10-01,131,普通預金,リース料,80000,0,1479290
9149,0001-20091001-66-1406-1-3273,0,2009-10-01,131,普通預金,リース料,199858,0,1679148
10373,0001-20091031-116-1611-1-3683,2,2009-10-31,131,普通預金,リース料,80000,0,1759148
10571,0001-20091031-66-1595-1-3651,0,2009-10-31,131,普通預金,リース料,199858,0,1959006
,,,2009-10,,※※月計※※,,559716,0,
11835,0001-20091130-116-1845-1-4151,5,2009-11-30,131,普通預金,リース料,80000,0,2039006
12058,0001-20091130-66-1827-1-4115,0,2009-11-30,131,普通預金,リース料,199858,0,2238864
,,,2009-11,,※※月計※※,,279858,0,
13756,0001-20100104-116-2118-1-4697,0,2010-01-04,131,普通預金,リース料,80000,0,2318864
13762,0001-20100104-66-2117-1-4695,0,2010-01-04,131,普通預金,リース料,199858,0,2518722
14815,0001-20100130-116-2301-1-5063,0,2010-01-30,131,普通預金,リース料,80000,0,2598722
15235,0001-20100131-66-2309-1-5079,0,2010-01-31,131,普通預金,リース料,199858,0,2798580
,,,2010-01,,※※月計※※,,559716,0,
16419,0001-20100228-116-2529-1-5519,0,2010-02-28,131,普通預金,リース料,80000,0,2878580
16682,0001-20100228-66-2525-1-5511,0,2010-02-28,131,普通預金,リース料,199858,0,3078438
,,,2010-02,,※※月計※※,,279858,0,
17971,0001-20100331-116-2792-1-6045,5,2010-03-31,131,普通預金,リース料,80000,0,3158438
18265,0001-20100331-66-2776-1-6013,0,2010-03-31,131,普通預金,リース料,199858,0,3358296
,,,2010-03,,※※月計※※,,279858,0,3358296
