num,GL02,GL02-GL55,date,contra_account,contra_account_name,note,debit_amount,credit_amount,balance
,,,,752,保険料,,3825840,0,3825840
1066,0001-20090427-30-182-1-825,1,2009-04-27,131,普通預金,保険料支払,54320,0,54320
1113,0001-20090430-115-206-1-873,1,2009-04-30,131,普通預金,保険料,64500,0,118820
1170,0001-20090430-239-214-1-889,1,2009-04-30,131,普通預金,保険料,62000,0,180820
1175,0001-20090430-240-215-1-891,1,2009-04-30,131,普通預金,保険料支払い,57000,0,237820
1530,0001-20090430-63-195-1-851,1,2009-04-30,131,普通預金,保険料,81000,0,318820
,,,2009-04,,※※月計※※,,318820,0,
2563,0001-20090527-30-415-1-1291,1,2009-05-27,131,普通預金,保険料支払,54320,0,373140
2643,0001-20090530-115-432-1-1325,1,2009-05-30,131,普通預金,保険料,64500,0,437640
3090,0001-20090531-63-441-1-1343,1,2009-05-31,131,普通預金,保険料,81000,0,518640
3104,0001-20090531-74-444-1-1349,1,2009-05-31,131,普通預金,保険料,62000,0,580640
3109,0001-20090531-75-445-1-1351,1,2009-05-31,131,普通預金,保険料支払い,57000,0,637640
,,,2009-05,,※※月計※※,,318820,0,
4114,0001-20090627-30-652-1-1765,1,2009-06-27,131,普通預金,保険料支払,54320,0,691960
4184,0001-20090630-115-679-1-1819,1,2009-06-30,131,普通預金,保険料,64500,0,756460
4550,0001-20090630-63-666-1-1793,1,2009-06-30,131,普通預金,保険料,81000,0,837460
4576,0001-20090630-79-670-1-1801,1,2009-06-30,131,普通預金,保険料,62000,0,899460
4581,0001-20090630-80-671-1-1803,1,2009-06-30,131,普通預金,保険料支払い,57000,0,956460
,,,2009-06,,※※月計※※,,318820,0,
5699,0001-20090727-30-880-1-2221,1,2009-07-27,131,普通預金,保険料支払,54320,0,1010780
5776,0001-20090730-115-901-1-2263,1,2009-07-30,131,普通預金,保険料,64500,0,1075280
5804,0001-20090730-63-895-1-2251,1,2009-07-30,131,普通預金,保険料,81000,0,1156280
6185,0001-20090731-75-907-1-2275,1,2009-07-31,131,普通預金,保険料,62000,0,1218280
6190,0001-20090731-76-908-1-2277,1,2009-07-31,131,普通預金,保険料支払い,57000,0,1275280
,,,2009-07,,※※月計※※,,318820,0,
7193,0001-20090827-30-1108-1-2677,1,2009-08-27,131,普通預金,保険料支払,54320,0,1329600
7259,0001-20090830-115-1128-1-2717,1,2009-08-30,131,普通預金,保険料,64500,0,1394100
7637,0001-20090831-63-1134-1-2729,10,2009-08-31,131,普通預金,保険料,81000,0,1475100
7648,0001-20090831-72-1136-1-2733,1,2009-08-31,131,普通預金,保険料,62000,0,1537100
7653,0001-20090831-73-1137-1-2735,1,2009-08-31,131,普通預金,保険料支払い,57000,0,1594100
,,,2009-08,,※※月計※※,,318820,0,
8660,0001-20090927-30-1338-1-3137,1,2009-09-27,131,普通預金,保険料支払,54320,0,1648420
8739,0001-20090930-115-1371-1-3203,1,2009-09-30,131,普通預金,保険料,64500,0,1712920
9063,0001-20090930-63-1359-1-3179,1,2009-09-30,131,普通預金,保険料,81000,0,1793920
9097,0001-20090930-76-1363-1-3187,1,2009-09-30,131,普通預金,保険料,62000,0,1855920
9102,0001-20090930-77-1364-1-3189,1,2009-09-30,131,普通預金,保険料支払い,57000,0,1912920
,,,2009-09,,※※月計※※,,318820,0,
10132,0001-20091027-30-1570-1-3601,1,2009-10-27,131,普通預金,保険料支払,54320,0,1967240
10189,0001-20091030-115-1588-1-3637,1,2009-10-30,131,普通預金,保険料,64500,0,2031740
