num,GL02,GL02-GL55,date,contra_account,contra_account_name,note,debit_amount,credit_amount,balance
,,,,753,修繕維持費,,321287,0,321287
1001,0001-20090425-92-155-1-771,0,2009-04-25,322,未払金,コピー機修繕,17143,0,17143
1104,0001-20090428-93-187-1-835,0,2009-04-28,322,未払金,修繕費,17000,0,34143
,,,2009-04,,※※月計※※,,34143,0,
2490,0001-20090525-92-395-1-1251,0,2009-05-25,322,未払金,コピー機修繕,100000,0,134143
2602,0001-20090528-93-423-1-1307,0,2009-05-28,322,未払金,修繕費,16858,0,151001
,,,2009-05,,※※月計※※,,116858,0,
4154,0001-20090628-93-658-1-1777,0,2009-06-28,322,未払金,修繕費,17000,0,168001
,,,2009-06,,※※月計※※,,17000,0,
5660,0001-20090725-92-862-1-2185,0,2009-07-25,322,未払金,コピー機修繕,17143,0,185144
5759,0001-20090728-93-888-1-2237,0,2009-07-28,322,未払金,修繕費,17000,0,202144
,,,2009-07,,※※月計※※,,34143,0,
7243,0001-20090828-93-1117-1-2695,0,2009-08-28,322,未払金,修繕費,17000,0,219144
,,,2009-08,,※※月計※※,,17000,0,
8684,0001-20090928-93-1347-1-3155,0,2009-09-28,322,未払金,修繕費,17000,0,236144
,,,2009-09,,※※月計※※,,17000,0,
10082,0001-20091025-92-1553-1-3567,0,2009-10-25,322,未払金,コピー機修繕,17143,0,253287
10168,0001-20091028-93-1578-1-3617,0,2009-10-28,322,未払金,修繕費,17000,0,270287
,,,2009-10,,※※月計※※,,34143,0,
11654,0001-20091128-93-1812-1-4085,0,2009-11-28,322,未払金,修繕費,17000,0,287287
,,,2009-11,,※※月計※※,,17000,0,
16730,0001-20100228-93-2543-1-5547,0,2010-02-28,322,未払金,修繕費,17000,0,304287
,,,2010-02,,※※月計※※,,17000,0,
18308,0001-20100331-93-2782-1-6025,0,2010-03-31,322,未払金,修繕費,17000,0,321287
,,,2010-03,,※※月計※※,修繕費,17000,0,321287
