num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,cdt_amount,balance
,,,,754,事務用消耗品費,,1476162,0,1476162
32,0001-20090403-134-8-1-477,0,2009-04-03,111,現金,用紙,14858,0,14858
523,0001-20090420-118-110-1-681,0,2009-04-20,322,未払金,コピー代,6678,0,21536
535,0001-20090420-135-112-1-685,0,2009-04-20,322,未払金,事務用品,2972,0,24508
560,0001-20090420-235-117-1-695,0,2009-04-20,322,未払金,カウンター料金,6000,0,30508
614,0001-20090420-31-98-1-657,0,2009-04-20,322,未払金,コピー代,2552,0,33060
660,0001-20090420-71-104-1-669,0,2009-04-20,322,未払金,事務用品,2458,0,35518
663,0001-20090420-71-104-1-669,3,2009-04-20,322,未払金,事務用品,16169,0,51687
665,0001-20090420-71-104-1-669,5,2009-04-20,322,未払金,カウンター料金,30464,0,82151
682,0001-20090420-97-107-1-675,0,2009-04-20,322,未払金,コピー代,37264,0,119415
686,0001-20090420-98-108-1-677,0,2009-04-20,322,未払金,事務用品,15000,0,134415
764,0001-20090423-164-148-1-757,0,2009-04-23,111,現金,事務用品,1505,0,135920
776,0001-20090423-32-143-1-747,0,2009-04-23,322,未払金,事務用品費,1762,0,137682
,,,2009-04,,※※月計※※,,137682,0,
2089,0001-20090520-118-356-1-1173,0,2009-05-20,322,未払金,コピー代,7681,0,145363
2093,0001-20090520-119-357-1-1175,0,2009-05-20,322,未払金,事務用品,3936,0,149299
2118,0001-20090520-31-340-1-1141,0,2009-05-20,322,未払金,コピー代,3293,0,152592
2130,0001-20090520-71-343-1-1147,0,2009-05-20,322,未払金,事務用品,5050,0,157642
2133,0001-20090520-71-343-1-1147,3,2009-05-20,322,未払金,カウンター料金,34274,0,191916
2135,0001-20090520-71-343-1-1147,5,2009-05-20,322,未払金,カウンター料金,6000,0,197916
2157,0001-20090520-97-347-1-1155,0,2009-05-20,322,未払金,コピー代,38217,0,236133
2161,0001-20090520-98-348-1-1157,0,2009-05-20,322,未払金,事務用品,36743,0,272876
2598,0001-20090528-32-422-1-1305,0,2009-05-28,322,未払金,事務用品費,3286,0,276162
2665,0001-20090530-164-435-1-1331,0,2009-05-30,111,現金,事務用品,5067,0,281229
,,,2009-05,,※※月計※※,,143547,0,
3535,0001-20090615-164-563-1-1587,0,2009-06-15,111,現金,事務用品,2864,0,284093
3633,0001-20090620-118-597-1-1655,0,2009-06-20,322,未払金,コピー代,6784,0,290877
3645,0001-20090620-134-599-1-1659,0,2009-06-20,322,未払金,用紙,21905,0,312782
3649,0001-20090620-135-600-1-1661,0,2009-06-20,322,未払金,事務用品,6955,0,319737
3684,0001-20090620-31-575-1-1611,0,2009-06-20,322,未払金,コピー代,2622,0,322359
3723,0001-20090620-71-581-1-1623,0,2009-06-20,322,未払金,事務用品,1505,0,323864
3726,0001-20090620-71-581-1-1623,3,2009-06-20,322,未払金,カウンター料金,31854,0,355718
3737,0001-20090620-76-584-1-1629,0,2009-06-20,322,未払金,カウンター料金,6000,0,361718
3763,0001-20090620-97-588-1-1637,0,2009-06-20,322,未払金,コピー代,36996,0,398714
3767,0001-20090620-98-589-1-1639,0,2009-06-20,322,未払金,事務用品,2277,0,400991
,,,2009-06,,※※月計※※,,119762,0,
4721,0001-20090702-32-715-1-1891,0,2009-07-02,322,未払金,事務用品費,2127,0,403118
4725,0001-20090703-134-720-1-1901,0,2009-07-03,111,現金,用紙,13124,0,416242
5224,0001-20090720-118-824-1-2109,0,2009-07-20,322,未払金,コピー代,6880,0,423122
5228,0001-20090720-119-825-1-2111,0,2009-07-20,322,未払金,事務用品,1410,0,424532
5270,0001-20090720-164-832-1-2125,0,2009-07-20,111,現金,事務用品,5696,0,430228
5274,0001-20090720-31-807-1-2075,0,2009-07-20,322,未払金,コピー代,2730,0,432958
5302,0001-20090720-71-812-1-2085,0,2009-07-20,322,未払金,事務用品,11407,0,444365
5305,0001-20090720-71-812-1-2085,3,2009-07-20,322,未払金,カウンター料金,31320,0,475685
5308,0001-20090720-72-813-1-2087,0,2009-07-20,322,未払金,カウンター料金,6000,0,481685
5320,0001-20090720-97-815-1-2091,0,2009-07-20,322,未払金,コピー代,34085,0,515770
5324,0001-20090720-98-816-1-2093,0,2009-07-20,322,未払金,事務用品,5610,0,521380
,,,2009-07,,※※月計※※,,120389,0,
6234,0001-20090803-134-951-1-2363,0,2009-08-03,322,未払金,用紙,15029,0,536409
6237,0001-20090803-134-951-1-2363,3,2009-08-03,322,未払金,用紙,16000,0,552409
6422,0001-20090810-32-978-1-2417,0,2009-08-10,322,未払金,事務用品費,3722,0,556131
6673,0001-20090819-164-1033-1-2527,0,2009-08-19,111,現金,事務用品,2048,0,558179
6729,0001-20090820-118-1053-1-2567,0,2009-08-20,322,未払金,コピー代,6691,0,564870
6733,0001-20090820-119-1054-1-2569,0,2009-08-20,322,未払金,事務用品,2553,0,567423
6770,0001-20090820-31-1034-1-2529,0,2009-08-20,322,未払金,コピー代,2283,0,569706
6798,0001-20090820-69-1039-1-2539,0,2009-08-20,322,未払金,カウンター料金,6000,0,575706
6802,0001-20090820-71-1040-1-2541,0,2009-08-20,322,未払金,事務用品,7275,0,582981
6805,0001-20090820-71-1040-1-2541,3,2009-08-20,322,未払金,カウンター料金,32493,0,615474
6834,0001-20090820-97-1045-1-2551,0,2009-08-20,322,未払金,コピー代,32529,0,648003
6838,0001-20090820-98-1046-1-2553,0,2009-08-20,322,未払金,事務用品,5743,0,653746
,,,2009-08,,※※月計※※,,132366,0,
7702,0001-20090902-164-1184-1-2829,0,2009-09-02,111,現金,事務用品,2958,0,656704
7726,0001-20090903-134-1188-1-2837,0,2009-09-03,111,現金,用紙,13048,0,669752
8217,0001-20090920-118-1286-1-3033,0,2009-09-20,322,未払金,コピー代,6856,0,676608
8221,0001-20090920-135-1287-1-3035,0,2009-09-20,322,未払金,事務用品,5458,0,682066
8248,0001-20090920-31-1269-1-2999,0,2009-09-20,322,未払金,コピー代,2680,0,684746
8270,0001-20090920-71-1273-1-3007,0,2009-09-20,322,未払金,事務用品,5981,0,690727
8273,0001-20090920-71-1273-1-3007,3,2009-09-20,322,未払金,カウンター料金,29203,0,719930
8276,0001-20090920-72-1274-1-3009,0,2009-09-20,322,未払金,カウンター料金,6000,0,725930
8286,0001-20090920-97-1276-1-3013,0,2009-09-20,322,未払金,コピー代,34713,0,760643
