num,GL02,GL02-GL55,date,contra_account,contra_account_name,note,debit_amount,credit_amount,balance
,,,,791,雑費,,5585803,0,5585803
28,0001-20090402-68-4-1-469,0,2009-04-02,111,現金,トイレットペーパー他,2829,0,2829
165,0001-20090407-69-34-1-529,0,2009-04-07,111,現金,お茶代,1332,0,4161
168,0001-20090407-69-34-1-529,3,2009-04-07,111,現金,コーヒー代,2839,0,7000
216,0001-20090410-168-46-1-553,0,2009-04-10,322,未払金,有線,6000,0,13000
219,0001-20090410-168-46-1-553,3,2009-04-10,322,未払金,警備料,42858,0,55858
244,0001-20090410-234-50-1-561,0,2009-04-10,322,未払金,有線,5000,0,60858
247,0001-20090410-234-50-1-561,3,2009-04-10,322,未払金,警備料,34286,0,95144
474,0001-20090416-136-88-1-637,0,2009-04-16,111,現金,ダスキン代,15715,0,110859
678,0001-20090420-94-106-1-673,0,2009-04-20,322,未払金,有線,4762,0,115621
728,0001-20090422-166-139-1-739,0,2009-04-22,111,現金,ダスキン代,1800,0,117421
748,0001-20090422-90-132-1-725,0,2009-04-22,111,現金,ダスキン代,10000,0,127421
752,0001-20090422-95-133-1-727,0,2009-04-22,322,未払金,清掃料,68262,0,195683
1126,0001-20090430-137-209-1-879,0,2009-04-30,322,未払金,有線,6000,0,201683
1129,0001-20090430-137-209-1-879,3,2009-04-30,322,未払金,警備料,42858,0,244541
1136,0001-20090430-137-209-1-879,8,2009-04-30,322,未払金,清掃料,70000,0,314541
1543,0001-20090430-70-198-1-857,0,2009-04-30,322,未払金,有線,6000,0,320541
1546,0001-20090430-70-198-1-857,3,2009-04-30,322,未払金,警備料,52381,0,372922
1548,0001-20090430-70-198-1-857,5,2009-04-30,322,未払金,清掃料,70000,0,442922
1568,0001-20090430-96-203-1-867,0,2009-04-30,131,普通預金,警備料,21400,0,464322
,,,2009-04,,※※月計※※,,464322,0,
1680,0001-20090507-69-267-1-995,0,2009-05-07,111,現金,洗剤代他,2284,0,466606
1739,0001-20090510-168-293-1-1047,0,2009-05-10,322,未払金,有線,6000,0,472606
1742,0001-20090510-168-293-1-1047,3,2009-05-10,322,未払金,警備料,42858,0,515464
1767,0001-20090510-68-281-1-1023,0,2009-05-10,322,未払金,有線,5000,0,520464
1770,0001-20090510-68-281-1-1023,3,2009-05-10,322,未払金,警備料,34286,0,554750
1773,0001-20090510-69-282-1-1025,0,2009-05-10,111,現金,ティッシュ他,930,0,555680
2017,0001-20090516-136-331-1-1123,0,2009-05-16,111,現金,ダスキン代,15715,0,571395
2025,0001-20090517-94-332-1-1125,0,2009-05-17,322,未払金,印刷代,10000,0,581395
2126,0001-20090520-70-342-1-1145,0,2009-05-20,322,未払金,有線,4762,0,586157
2236,0001-20090522-165-378-1-1217,0,2009-05-22,111,現金,トイレットペーパー代,2000,0,588157
2240,0001-20090522-166-379-1-1219,0,2009-05-22,111,現金,ダスキン代,1800,0,589957
2262,0001-20090522-90-374-1-1209,0,2009-05-22,111,現金,ダスキン代,10000,0,599957
2266,0001-20090522-95-375-1-1211,0,2009-05-22,322,未払金,清掃料,68262,0,668219
2647,0001-20090530-137-433-1-1327,0,2009-05-30,322,未払金,有線,6000,0,674219
2650,0001-20090530-137-433-1-1327,3,2009-05-30,322,未払金,警備料,42858,0,717077
2657,0001-20090530-137-433-1-1327,8,2009-05-30,322,未払金,清掃料,70000,0,787077
2669,0001-20090530-70-429-1-1319,0,2009-05-30,322,未払金,有線,6000,0,793077
2672,0001-20090530-70-429-1-1319,3,2009-05-30,322,未払金,警備料,52381,0,845458
2677,0001-20090530-70-429-1-1319,8,2009-05-30,322,未払金,清掃料,70000,0,915458
2681,0001-20090530-96-430-1-1321,0,2009-05-30,131,普通預金,警備料,21400,0,936858
,,,2009-05,,※※月計※※,,472536,0,
3149,0001-20090601-94-486-1-1433,0,2009-06-01,111,現金,お茶代,3000,0,939858
3246,0001-20090607-69-507-1-1475,0,2009-06-07,111,現金,電池代,1332,0,941190
