month,account_code,account_name,beginning_balance,debit_amount,credit_amount,ending_balance
2009-06,111,現金,-458797,7601925,7017505,125623
2009-06,121,当座預金,2079070,107337001,94227170,15188901
2009-06,131,普通預金,14968524,237111266,230156162,21923628
2009-06,148,定期積金,1500000,1500000,0,3000000
2009-06,150,受取手形,31438141,104794366,98629352,37603155
2009-06,152,売掛金,-85222182,189604246,248476874,-144094810
2009-06,183,短期貸付金,-120000,0,120000,-240000
2009-06,191,仮払消費税等,7389559,7396999,0,14786558
2009-06,248,保険積立金,375000,375000,0,750000
2009-06,301,支払手形,2906090,52251735,43911351,11246474
2009-06,312,買掛金,31546484,126054742,110241158,47360068
2009-06,321,短期借入金,1960500,1960500,0,3921000
2009-06,322,未払金,376407,22377669,22189267,564809
2009-06,326,預り金,-1636855,4376681,6584968,-3845142
2009-06,335,仮受消費税等,-9135004,0,9028523,-18163527
2009-06,511,売上高,-181865080,0,179631239,-361496319
2009-06,521,売上値引戻り高,-840336,0,944484,-1784820
2009-06,541,商品仕入高,103266277,104376808,0,207643085
2009-06,551,仕入値引戻し高,606424,615470,0,1221894
2009-06,711,役員報酬,5160000,5160000,0,10320000
2009-06,712,給与手当,16920334,16508367,0,33428701
2009-06,713,賞与,0,4042000,0,4042000
2009-06,721,雑給,1024602,908002,0,1932604
2009-06,723,法定福利費,2252337,2252338,0,4504675
2009-06,724,福利厚生費,898679,1168264,0,2066943
2009-06,726,旅費交通費,3065256,3018227,0,6083483
2009-06,727,通信費,3618833,3385724,0,7004557
2009-06,728,業務委託費,6261431,6268574,0,12530005
2009-06,731,運賃,10579684,10409543,0,20989227
2009-06,732,広告宣伝費,533527,483527,0,1017054
2009-06,733,交際接待費,1179068,1048513,0,2227581
2009-06,734,会議費,100444,100444,0,200888
2009-06,736,水道光熱費,1875858,1807719,0,3683577
2009-06,737,消耗品費,974346,1761682,880841,1855187
2009-06,738,租税公課,178000,135000,0,313000
2009-06,739,新聞図書費,73452,73452,0,146904
2009-06,740,車両費,1761312,1587589,0,3348901
2009-06,741,支払手数料,31950,33300,0,65250
2009-06,742,諸会費,348000,348000,0,696000
2009-06,746,支払報酬,399174,399174,0,798348
2009-06,747,地代家賃,9854286,9854286,0,19708572
2009-06,752,保険料,956460,956460,0,1912920
2009-06,753,修繕維持費,185144,168001,0,353145
2009-06,754,事務用消耗品費,418911,400991,0,819902
2009-06,791,雑費,1401180,1401739,0,2802919
2009-06,821,支払利息,300458,390376,0,690834
,,,,1042365416,1052038894,
