月,コード,科目,前月残高,借方,貸方,当月残高
2009-07,111,現金,584420,2983571,2344180,1223811
2009-07,121,当座預金,13109831,35770692,47713741,1166782
2009-07,131,普通預金,6955104,59171205,60876972,5249337
2009-07,148,定期積金,1500000,500000,0,2000000
2009-07,150,受取手形,6165014,31610012,35886816,1888210
2009-07,152,売掛金,-58872628,66724737,61021889,-53169780
2009-07,183,短期貸付金,-120000,0,40000,-160000
2009-07,191,仮払消費税等,7396999,2580490,0,9977489
2009-07,248,保険積立金,375000,125000,0,500000
2009-07,301,支払手形,8340384,26027566,10880762,23487188
2009-07,312,買掛金,15813584,37287812,38302285,14799111
2009-07,321,短期借入金,1960500,653500,0,2614000
2009-07,322,未払金,188402,7396290,7936710,-352018
2009-07,326,預り金,-2208287,2061939,1901556,-2047904
2009-07,335,仮受消費税等,-9028523,476,3177283,-12205330
2009-07,511,売上高,-179631239,0,63234494,-242865733
2009-07,521,売上値引戻り高,-944484,0,312960,-1257444
2009-07,523,売上割戻し高,0,9524,0,9524
2009-07,531,期首商品棚卸高,0,0,0,0
2009-07,541,商品仕入高,104376808,36395445,0,140772253
2009-07,551,仕入値引戻し高,615470,83184,0,698654
2009-07,711,役員報酬,5160000,1720000,0,6880000
2009-07,712,給与手当,16508367,5229240,0,21737607
2009-07,721,雑給,908002,364425,0,1272427
2009-07,723,法定福利費,2252338,1190201,0,3442539
2009-07,724,福利厚生費,1168264,264645,0,1432909
2009-07,726,旅費交通費,3018227,1000797,0,4019024
2009-07,727,通信費,3385724,1124353,0,4510077
2009-07,728,業務委託費,6268574,2325423,0,8593997
2009-07,731,運賃,10409543,3950270,0,14359813
2009-07,732,広告宣伝費,483527,132382,0,615909
2009-07,733,交際接待費,1048513,250619,0,1299132
2009-07,734,会議費,100444,23805,0,124249
2009-07,736,水道光熱費,1807719,577420,0,2385139
2009-07,737,消耗品費,880841,537004,268502,1149343
2009-07,739,新聞図書費,73452,24484,0,97936
2009-07,740,車両費,1587589,606704,0,2194293
2009-07,741,支払手数料,33300,11550,0,44850
2009-07,742,諸会費,348000,116000,0,464000
2009-07,744,リース料,0,559716,0,559716
2009-07,746,支払報酬,399174,133058,0,532232
2009-07,747,地代家賃,9854286,3284762,0,13139048
2009-07,752,保険料,956460,318820,0,1275280
2009-07,753,修繕維持費,168001,34143,0,202144
2009-07,754,事務用消耗品費,400991,120389,0,521380
2009-07,791,雑費,1401739,467698,0,1869437
2009-07,821,支払利息,390376,148799,0,539175
2009-07,,,,333898150,333898150,
