GL02,GL02-GL55,GL55-GL60d,GL55-GL60c,GL55-GL61,GL02-01,GL64-01,GL64-02,GL64-03,GL64-04,GL57-01,GL57-02,GL55-03,GL55-04,GL69-02,GL56-02,GL63-01d,GL63-02d,GL63-03d,GL56-01d,GL60-01d,GL60-02d,GL60-03d,GL63-01c,GL63-02c,GL63-03c,GL56-01c,GL60-01c,GL60-02c,GL60-03c,GL61-01,GL61-02,GL61-03
0001-20090401-18-1-1-463,,,,,1-463,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090401-18-1-1-463,0,,,,,,,,,,,account,旅費,2009-04-01,ISO4217:JPY,726,旅費交通費,TravelingExpense,18572,部門,010,札幌,111,現金,CashHand,18572,部門,000,共通部門,,,
0001-20090401-18-1-1-463,1,,,,,,,,,,,account,旅費,2009-04-01,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,928,部門,010,札幌,111,現金,CashHand,928,部門,000,共通部門,,,
0001-20090401-246-2-1-465,,,,,2-465,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090401-246-2-1-465,0,,,,,,,,,,,account,旅費,2009-04-01,ISO4217:JPY,726,旅費交通費,TravelingExpense,9524,部門,030,名古屋,111,現金,CashHand,9524,部門,000,共通部門,,,
0001-20090401-246-2-1-465,1,,,,,,,,,,,account,旅費,2009-04-01,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,476,部門,030,名古屋,111,現金,CashHand,476,部門,000,共通部門,,,
0001-20090402-122-5-1-471,,,,,5-471,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090402-122-5-1-471,0,,,,,,,,,,,account,証明書発行手数料,2009-04-02,ISO4217:JPY,727,通信費,CommunicationCost,1000,部門,040,大阪,111,現金,CashHand,1000,部門,000,共通部門,,,
0001-20090402-122-5-1-471,1,,,,,,,,,,,account,証明書発行手数料,2009-04-02,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,50,部門,040,大阪,111,現金,CashHand,50,部門,000,共通部門,,,
0001-20090402-142-6-1-473,,,,,6-473,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
