num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,期間合計,,,,17836856,,,,17735662,,,,101194
171,57,2,2022-07-02,521,接待交際費,ライフ､中元贈答品,0,,,,8910,,,,83702
3,1,2,2022-07-04,110,城北信当座預金,預金引出,150000,,,,0,,,,150000
6,2,2,2022-07-04,529,修繕費,ＡＢＣ工務店､看板取り外し処分,0,,,,50000,,,,100000
174,58,2,2022-07-04,523,通信費,日本郵便､ﾊｶﾞｷ代他,0,,,,1470,,,,82232
177,59,2,2022-07-04,522,旅費・交通費,実用興業､ﾀｸｼｰ代,0,,,,1220,,,,81012
180,60,2,2022-07-06,522,旅費・交通費,日本交通､ﾀｸｼｰ代,0,,,,980,,,,80032
183,61,2,2022-07-06,202,借入金,総合食品ストア､北海道扱返金,0,,,,12063,,,,67969
186,62,2,2022-07-07,522,旅費・交通費,日月東交通､ﾀｸｼｰ代,0,,,,2900,,,,65069
189,63,2,2022-07-07,522,旅費・交通費,明治交通､ﾀｸｼｰ代,0,,,,1140,,,,63929
192,64,2,2022-07-08,526,租税公課,千代田区役所､収入証紙,0,,,,300,,,,63629
195,65,2,2022-07-09,522,旅費・交通費,大和自動車､ﾀｸｼｰ代,0,,,,900,,,,62729
198,66,2,2022-07-09,522,旅費・交通費,実用興業､ﾀｸｼｰ代,0,,,,900,,,,61829
201,67,2,2022-07-12,522,旅費・交通費,実用興業､ﾀｸｼｰ代,0,,,,900,,,,60929
204,68,2,2022-07-12,521,接待交際費,六花亭､食品贈答品,0,,,,15000,,,,45929
207,69,2,2022-07-14,522,旅費・交通費,東京無線､ﾀｸｼｰ代,0,,,,1220,,,,44709
210,70,2,2022-07-14,522,旅費・交通費,日の丸交通､ﾀｸｼｰ代,0,,,,1940,,,,42769
213,71,2,2022-07-14,202,借入金,総合食品ストア､北海道扱返金,0,,,,7290,,,,35479
216,72,2,2022-07-16,522,旅費・交通費,東京西交通､ﾀｸｼｰ代,0,,,,900,,,,34579
219,73,2,2022-07-20,202,借入金,仲よし､北海道扱返金,0,,,,6800,,,,27779
222,74,2,2022-07-22,202,借入金,総合食品ストア､北海道扱返金,0,,,,8680,,,,19099
225,75,2,2022-07-22,526,租税公課,千代田区役所､収入証紙,0,,,,4200,,,,14899
120,40,2,2022-07-25,531,保険料,ＡＢＣ社会保険労働事務所､労保精算金,0,,,,15,,,,92612
228,76,2,2022-07-25,523,通信費,日本郵便､書留郵便,0,,,,1674,,,,13225
231,77,2,2022-07-25,526,租税公課,東京法務局､印紙代,0,,,,600,,,,12625
234,78,2,2022-07-25,526,租税公課,東京法務局､印紙代,0,,,,3150,,,,9475
78,26,2,2022-07-26,208,預り金,麹町税務署､源泉所得税納付,0,,,,7373,,,,92627
,,,2022-07,,※※月計※※,,150000,,,,140525,,,,
273,91,2,2022-08-01,522,旅費・交通費,実用興業､ﾀｸｼｰ代,0,,,,820,,,,8655
288,96,2,2022-08-08,208,預り金,ＸＹＺ司法書士､源泉所得税納付,0,,,,4799,,,,-5754
276,92,2,2022-08-24,522,旅費・交通費,実用興業､ﾀｸｼｰ代,0,,,,900,,,,7755
279,93,2,2022-08-24,202,借入金,北海道太郎分返金,0,,,,7730,,,,25
282,94,2,2022-08-26,522,旅費・交通費,帝都交通､ﾀｸｼｰ代,0,,,,980,,,,-955
,,,2022-08,,※※月計※※,,0,,,,15229,,,,
369,123,2,2022-09-01,522,旅費・交通費,8/29実用興業､ﾀｸｼｰ代,0,,,,900,,,,-39528
345,115,2,2022-09-05,208,預り金,麹町税務署､源泉所得税納付,0,,,,2268,,,,-8022
372,124,2,2022-09-09,522,旅費・交通費,8/29実用興業､ﾀｸｼｰ代,0,,,,900,,,,-40428
375,125,2,2022-09-09,522,旅費・交通費,日本交通､ﾀｸｼｰ代,0,,,,900,,,,-41328
378,126,2,2022-09-21,522,旅費・交通費,東京興業､ﾀｸｼｰ代,0,,,,900,,,,-42228
