num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,期間合計,,,,23829347,,,,27406994,,,,-3577647
3,1,2,2022-07-04,100,現金,預金引出,0,,,,150000,,,,-150000
9,3,2,2022-07-11,204,未払金,信金ｸﾚｼﾞｯﾄ扱ETC､有料道路代,0,,,,7860,,,,-157860
12,4,2,2022-07-11,512,支払手数料,城北信金､ｱﾝｻｰﾎﾝ手数料,0,,,,1100,,,,-158960
18,6,2,2022-07-11,999,諸口,大田コンサル､顧問料,0,,,,22176,,,,-181136
27,9,2,2022-07-11,999,諸口,イロハ社労士事務所､労保諸手続報酬払い,0,,,,49895,,,,-231031
33,11,2,2022-07-12,154,仮払金,ＸＹＺ司法書士､解散登記法定費用分,0,,,,50000,,,,-281031
48,16,2,2022-07-25,528,地代・家賃,"八重洲商事駐車場､13,000X税1,300､8月分",0,,,,14300,,,,-295331
51,17,2,2022-07-25,111,三菱東京UFJ当座預金,銀行振替,6600000,,,,0,,,,6304669
66,22,2,2022-07-25,523,通信費,NTTﾌｧｲﾅﾝｽ､電話料金,0,,,,6496,,,,6298173
72,24,2,2022-07-25,201,買掛金,神田産業㈱,0,,,,509464,,,,5788709
81,27,2,2022-07-26,999,諸口,城北信金､定期預金解約,10007756,,,,0,,,,15796465
93,31,2,2022-07-26,999,諸口,城北信金､定期預金解約,5890111,,,,0,,,,21686576
111,37,2,2022-07-28,999,諸口,ＸＹＺ司法書士､解散登記分,0,,,,50673,,,,21635903
123,41,2,2022-07-29,201,買掛金,美土代町金商㈱,0,,,,22143,,,,21613760
129,43,2,2022-07-29,529,修繕費,㈲錦町ｵｰﾄ､ﾄﾗｯｸ整備代,0,,,,61380,,,,21552380
132,44,2,2022-07-29,201,買掛金,小川町工業,0,,,,2601610,,,,18950770
135,45,2,2022-07-29,201,買掛金,㈱三崎産業,0,,,,528125,,,,18422645
138,46,2,2022-07-29,201,買掛金,アラカワ㈱,0,,,,26400,,,,18396245
141,47,2,2022-07-29,201,買掛金,鍛冶町製作所,0,,,,28050,,,,18368195
147,49,2,2022-07-29,201,買掛金,東京産業㈱,0,,,,116979,,,,18251216
150,50,2,2022-07-29,201,買掛金,ニホン工業㈱,0,,,,892100,,,,17359116
153,51,2,2022-07-29,999,諸口,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却,775800,,,,0,,,,18134916
165,55,2,2022-07-29,525,消耗品費,札の辻､ｶﾞｿﾘﾝ代,0,,,,12636,,,,18122280
,,,2022-07,,※※月計※※,,23273667,,,,5151387,,,,
291,97,2,2022-08-09,512,支払手数料,城北信金､残高証明書,0,,,,440,,,,18121840
294,98,2,2022-08-10,512,支払手数料,城北信金､ｱﾝｻｰﾎﾝ手数料,0,,,,1100,,,,18120740
297,99,2,2022-08-10,204,未払金,信金ｸﾚｼﾞｯﾄ扱ETC､有料道路代,0,,,,15350,,,,18105390
303,101,2,2022-08-10,999,諸口,大田コンサル､顧問料,0,,,,22176,,,,18083214
309,103,2,2022-08-12,181,出資金,城北信金､出資金解約戻り,50000,,,,0,,,,18133214
312,104,2,2022-08-19,209,未払消費税等,麹町税務署､前期確定消費税納付,0,,,,609600,,,,17523614
315,105,2,2022-08-19,211,法人税等充当金,東京都､前期確定都民税納付,0,,,,35000,,,,17488614
327,109,2,2022-08-25,523,通信費,NTTﾌｧｲﾅﾝｽ､電話料金,0,,,,5896,,,,17482718
336,112,2,2022-08-31,538,雑費,ＰＹＫカーゴ､ﾊﾟｿｺﾝ他処分,0,,,,19800,,,,17462918
,,,2022-08,,※※月計※※,,50000,,,,709362,,,,
339,113,2,2022-09-05,204,未払金,鈴木一郎､退職金,0,,,,2000000,,,,15462918
342,114,2,2022-09-05,204,未払金,山田花子､退職金,0,,,,2000000,,,,13462918
351,117,2,2022-09-12,999,諸口,大田コンサル､顧問料･決算料,0,,,,239496,,,,13223422
357,119,2,2022-09-15,604,雑収入,麹町税務署､所得税還付金,224,,,,0,,,,13223646
,,,2022-09,,※※月計※※,,224,,,,4239496,,,,
387,129,2,2022-10-04,529,修繕費,日本メディアシステム㈱､ＮＴＴ電話機でんえもん工事代,0,,,,74877,,,,13148769
393,131,2,2022-10-12,999,諸口,大田コンサル､会社清算事務分,0,,,,179622,,,,12969147
405,135,2,2022-10-19,100,現金,現金預入,505456,,,,0,,,,13474603
429,143,2,2022-10-27,100,現金,城北信金､当座預金解約引出,0,,,,17052250,,,,-3577647
,,,2022-10,,※※月計※※,,505456,,,,17306749,,,,-3577647
