num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,期間合計,,,,574672,,,,16048,,,,558624
183,61,2,2022-07-06,100,現金,総合食品ストア､北海道扱返金,12063,,,,0,,,,12063
270,90,2,2022-07-10,208,預り金,麹町税務署､源泉所得税納付､社長立替分,0,,,,16048,,,,118790
213,71,2,2022-07-14,100,現金,総合食品ストア､北海道扱返金,7290,,,,0,,,,19353
219,73,2,2022-07-20,100,現金,仲よし､北海道扱返金,6800,,,,0,,,,26153
222,74,2,2022-07-22,100,現金,総合食品ストア､北海道扱返金,8680,,,,0,,,,34833
267,89,2,2022-07-31,153,未収入金,北海道太郎､固定資産売却代金相殺,100005,,,,0,,,,134838
,,,2022-07,,※※月計※※,,134838,,,,16048,,,,
279,93,2,2022-08-24,100,現金,北海道太郎分返金,7730,,,,0,,,,126520
,,,2022-08,,※※月計※※,,7730,,,,0,,,,
432,144,2,2022-10-31,100,現金,北海道太郎､借入金返済,432104,,,,0,,,,558624
,,,2022-10,,※※月計※※,,432104,,,,0,,,,558624
