num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,期間合計,,,,77454,,,,61406,,,,16048
270,90,2,2022-07-10,202,借入金,麹町税務署､源泉所得税納付､社長立替分,16048,,,,0,,,,11249
21,7,2,2022-07-11,999,諸口,大田コンサル､源泉所得税,0,,,,2268,,,,-2268
30,10,2,2022-07-11,999,諸口,イロハ社労士事務所､源泉所得税,0,,,,5105,,,,-7373
78,26,2,2022-07-26,100,現金,麹町税務署､源泉所得税納付,7373,,,,0,,,,0
117,39,2,2022-07-28,999,諸口,ＸＹＺ司法書士､源泉所得税,0,,,,4799,,,,-4799
,,,2022-07,,※※月計※※,,23421,,,,12172,,,,
288,96,2,2022-08-08,100,現金,ＸＹＺ司法書士､源泉所得税納付,4799,,,,0,,,,16048
306,102,2,2022-08-10,999,諸口,大田コンサル､源泉所得税,0,,,,2268,,,,13780
,,,2022-08,,※※月計※※,,4799,,,,2268,,,,
345,115,2,2022-09-05,100,現金,麹町税務署､源泉所得税納付,2268,,,,0,,,,16048
354,118,2,2022-09-12,999,諸口,大田コンサル､源泉所得税,0,,,,24504,,,,-8456
363,121,2,2022-09-22,100,現金,麹町税務署､源泉所得税納付,24504,,,,0,,,,16048
,,,2022-09,,※※月計※※,,26772,,,,24504,,,,
396,132,2,2022-10-12,999,諸口,大田コンサル､源泉所得税,0,,,,18378,,,,-2330
408,136,2,2022-10-19,100,現金,麹町税務署､源泉所得税納付,18378,,,,0,,,,16048
417,139,2,2022-10-19,999,諸口,ＸＹＺ司法書士､源泉所得税,0,,,,4084,,,,11964
426,142,2,2022-10-19,100,現金,麹町税務署､源泉所得税納付,4084,,,,0,,,,16048
,,,2022-10,,※※月計※※,,22462,,,,22462,,,,16048
