num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,期間合計,,,,52807,,,,0,,,,52807
192,64,2,2022-07-08,100,現金,千代田区役所､収入証紙,300,,,,0,,,,41085
225,75,2,2022-07-22,100,現金,千代田区役所､収入証紙,4200,,,,0,,,,45285
231,77,2,2022-07-25,100,現金,東京法務局､印紙代,600,,,,0,,,,45885
234,78,2,2022-07-25,100,現金,東京法務局､印紙代,3150,,,,0,,,,49035
90,30,2,2022-07-26,999,諸口,城北信金､利子所得税,13,,,,0,,,,13
114,38,2,2022-07-28,999,諸口,ＸＹＺ司法書士､解散登記分印紙代等,40772,,,,0,,,,40785
,,,2022-07,,※※月計※※,,49035,,,,0,,,,
420,140,2,2022-10-19,999,諸口,ＸＹＺ司法書士､登記法定費用,3772,,,,0,,,,52807
,,,2022-10,,※※月計※※,,3772,,,,0,,,,52807
