num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,期間合計,,,,25814285,,,,25814284,,,,1
15,5,2,2022-07-11,512,支払手数料,大田コンサル､顧問料,0,,,,24444,,,,-24444
18,6,2,2022-07-11,110,城北信当座預金,大田コンサル､顧問料,22176,,,,0,,,,-2268
21,7,2,2022-07-11,208,預り金,大田コンサル､源泉所得税,2268,,,,0,,,,0
24,8,2,2022-07-11,512,支払手数料,イロハ社労士事務所､労働保険諸手続,0,,,,55000,,,,-55000
27,9,2,2022-07-11,110,城北信当座預金,イロハ社労士事務所､労保諸手続報酬払い,49895,,,,0,,,,-5105
30,10,2,2022-07-11,208,預り金,イロハ社労士事務所､源泉所得税,5105,,,,0,,,,0
39,13,2,2022-07-20,111,三菱東京UFJ当座預金,大手町機工､売掛回収,0,,,,29810,,,,-29810
42,14,2,2022-07-20,512,支払手数料,大手町機工､振込料,0,,,,880,,,,-30690
45,15,2,2022-07-20,131,売掛金,大手町機工､振込入金,30690,,,,0,,,,0
54,18,2,2022-07-25,111,三菱東京UFJ当座預金,日比谷建業㈱､売掛回収,0,,,,6486393,,,,-6486393
57,19,2,2022-07-25,512,支払手数料,日比谷建業㈱､振込料,0,,,,550,,,,-6486943
60,20,2,2022-07-25,131,売掛金,日比谷建業㈱､振込入金,6486943,,,,0,,,,0
81,27,2,2022-07-26,110,城北信当座預金,城北信金､定期預金解約,0,,,,10007756,,,,-10007756
84,28,2,2022-07-26,125,城北信定期預金,城北信金､定期預金解約,10007678,,,,0,,,,-78
87,29,2,2022-07-26,600,受取利息,城北信金､定期預金利息,91,,,,0,,,,13
90,30,2,2022-07-26,526,租税公課,城北信金､利子所得税,0,,,,13,,,,0
93,31,2,2022-07-26,110,城北信当座預金,城北信金､定期預金解約,0,,,,5890111,,,,-5890111
96,32,2,2022-07-26,125,城北信定期預金,城北信金､定期預金解約,5890100,,,,0,,,,-11
99,33,2,2022-07-26,600,受取利息,城北信金､定期預金利息,12,,,,0,,,,1
105,35,2,2022-07-28,512,支払手数料,ＸＹＺ司法書士､解散登記分,0,,,,64700,,,,-64699
108,36,2,2022-07-28,154,仮払金,ＸＹＺ司法書士､解散登記分,50000,,,,0,,,,-14699
111,37,2,2022-07-28,110,城北信当座預金,ＸＹＺ司法書士､解散登記分,50673,,,,0,,,,35974
114,38,2,2022-07-28,526,租税公課,ＸＹＺ司法書士､解散登記分印紙代等,0,,,,40772,,,,-4798
117,39,2,2022-07-28,208,預り金,ＸＹＺ司法書士､源泉所得税,4799,,,,0,,,,1
153,51,2,2022-07-29,110,城北信当座預金,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却,0,,,,775800,,,,-775799
156,52,2,2022-07-29,701,固定資産譲渡収入,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却収入,850000,,,,0,,,,74201
159,53,2,2022-07-29,512,支払手数料,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却件登録閉鎖手数料,0,,,,69000,,,,5201
162,54,2,2022-07-29,512,支払手数料,㈲錦町ｵ-ﾄ､ﾄﾗｯｸエルフ売却件登録閉鎖法定費用,0,,,,5200,,,,1
447,149,2,2022-07-31,810,売上高,[  7月-  7月 一括税抜],0,,,,102790,,,,-102789
450,150,2,2022-07-31,214,仮受消費税,[  7月-  7月 一括税抜],102790,,,,0,,,,1
453,151,2,2022-07-31,461,仕入高,[  7月-  7月 一括税抜],2013,,,,0,,,,2014
456,152,2,2022-07-31,174,仮払消費税,[  7月-  7月 一括税抜],0,,,,2013,,,,1
459,153,2,2022-07-31,525,消耗品費,[  7月-  7月 一括税抜],1149,,,,0,,,,1150
462,154,2,2022-07-31,174,仮払消費税,[  7月-  7月 一括税抜],0,,,,1149,,,,1
465,155,2,2022-07-31,528,地代・家賃,[  7月-  7月 一括税抜],1300,,,,0,,,,1301
468,156,2,2022-07-31,174,仮払消費税,[  7月-  7月 一括税抜],0,,,,1300,,,,1
471,157,2,2022-07-31,529,修繕費,[  7月-  7月 一括税抜],10565,,,,0,,,,10566
474,158,2,2022-07-31,174,仮払消費税,[  7月-  7月 一括税抜],0,,,,10565,,,,1
477,159,2,2022-07-31,521,接待交際費,[  7月-  7月 一括税抜],1111,,,,0,,,,1112
480,160,2,2022-07-31,174,仮払消費税,[  7月-  7月 一括税抜],0,,,,1111,,,,1
483,161,2,2022-07-31,521,接待交際費,[  7月-  7月 一括税抜],810,,,,0,,,,811
486,162,2,2022-07-31,174,仮払消費税,[  7月-  7月 一括税抜],0,,,,810,,,,1
489,163,2,2022-07-31,522,旅費・交通費,[  7月-  7月 一括税抜],1182,,,,0,,,,1183
492,164,2,2022-07-31,174,仮払消費税,[  7月-  7月 一括税抜],0,,,,1182,,,,1
495,165,2,2022-07-31,523,通信費,[  7月-  7月 一括税抜],876,,,,0,,,,877
498,166,2,2022-07-31,174,仮払消費税,[  7月-  7月 一括税抜],0,,,,876,,,,1
501,167,2,2022-07-31,512,支払手数料,[  7月-  7月 一括税抜],19607,,,,0,,,,19608
504,168,2,2022-07-31,174,仮払消費税,[  7月-  7月 一括税抜],0,,,,19607,,,,1
507,169,2,2022-07-31,701,固定資産譲渡収入,[  7月-  7月 一括税抜],0,,,,86364,,,,-86363
510,170,2,2022-07-31,214,仮受消費税,[  7月-  7月 一括税抜],86364,,,,0,,,,1
,,,2022-07,,※※月計※※,,23678197,,,,23678196,,,,
300,100,2,2022-08-10,512,支払手数料,大田コンサル､顧問料,0,,,,24444,,,,-24443
303,101,2,2022-08-10,110,城北信当座預金,大田コンサル､顧問料,22176,,,,0,,,,-2267
