num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,,三菱東京UFJ当座預金,,,0,,,,0,,,,0
36,12,2,2022-07-14,売掛金,,㈱越後屋,0,,,,0,,,,0
39,13,2,2022-07-20,諸口,,大手町機工､売掛回収,0,,,,0,,,,0
51,17,2,2022-07-25,城北信当座預金,,銀行振替,0,,,,0,,,,0
54,18,2,2022-07-25,諸口,,日比谷建業㈱､売掛回収,0,,,,0,,,,0
126,42,2,2022-07-29,修繕費,,㈱大塚商会､保守料,0,,,,0,,,,0
,,,2022-07,,※※月計※※,,0,,,,0,,,,
285,95,2,2022-08-01,通信費,,NTTﾌｧｲﾅﾝｽ､携帯電話料,0,,,,0,,,,0
318,106,2,2022-08-25,諸口,,㈱縄文式､売掛回収,0,,,,0,,,,0
330,110,2,2022-08-25,通信費,,NTTﾌｧｲﾅﾝｽ､携帯電話料,0,,,,0,,,,0
333,111,2,2022-08-31,修繕費,,㈱大塚商会､保守料,0,,,,0,,,,0
,,,2022-08,,※※月計※※,,0,,,,0,,,,
366,122,2,2022-09-30,修繕費,,㈱大塚商会､保守料,0,,,,0,,,,0
,,,2022-09,,※※月計※※,,0,,,,0,,,,
399,133,2,2022-10-17,現金,,三菱UFJ銀行､当座預金解約,0,,,,0,,,,0
,,,2022-10,,※※月計※※,,0,,,,0,,,,0
