num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,,仮払消費税,,,0,,,,0,,,,0
456,152,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,10,消費税,資金区分,0,,,,0
462,154,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,10,消費税,資金区分,0,,,,0
468,156,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,10,消費税,資金区分,0,,,,0
474,158,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,10,消費税,資金区分,0,,,,0
480,160,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,K8.0,消費税,資金区分,0,,,,0
486,162,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,10,消費税,資金区分,0,,,,0
492,164,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,10,消費税,資金区分,0,,,,0
498,166,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,10,消費税,資金区分,0,,,,0
504,168,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,10,消費税,資金区分,0,,,,0
,,,2022-07,,※※月計※※,,0,,,,0,,,,
516,172,2,2022-08-31,諸口,,[  8月-  8月 一括税抜],0,10,消費税,資金区分,0,,,,0
522,174,2,2022-08-31,諸口,,[  8月-  8月 一括税抜],0,10,消費税,資金区分,0,,,,0
528,176,2,2022-08-31,諸口,,[  8月-  8月 一括税抜],0,10,消費税,資金区分,0,,,,0
534,178,2,2022-08-31,諸口,,[  8月-  8月 一括税抜],0,10,消費税,資金区分,0,,,,0
540,180,2,2022-08-31,諸口,,[  8月-  8月 一括税抜],0,10,消費税,資金区分,0,,,,0
,,,2022-08,,※※月計※※,,0,,,,0,,,,
546,182,2,2022-09-30,諸口,,[  9月-  9月 一括税抜],0,10,消費税,資金区分,0,,,,0
552,184,2,2022-09-30,諸口,,[  9月-  9月 一括税抜],0,10,消費税,資金区分,0,,,,0
558,186,2,2022-09-30,諸口,,[  9月-  9月 一括税抜],0,10,消費税,資金区分,0,,,,0
564,188,2,2022-09-30,諸口,,[  9月-  9月 一括税抜],0,10,消費税,資金区分,0,,,,0
,,,2022-09,,※※月計※※,,0,,,,0,,,,
570,190,2,2022-10-31,諸口,,[ 10月- 10月 一括税抜],0,10,消費税,資金区分,0,,,,0
576,192,2,2022-10-31,諸口,,[ 10月- 10月 一括税抜],0,10,消費税,資金区分,0,,,,0
582,194,2,2022-10-31,諸口,,[ 10月- 10月 一括税抜],0,10,消費税,資金区分,0,,,,0
588,196,2,2022-10-31,諸口,,当期消費税精算処理,0,,,,0,,,資金区分,0
,,,2022-10,,※※月計※※,,0,,,,0,,,,0
