num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,,修繕費,,,0,,,,0,,,,0
6,2,2,2022-07-04,現金,,ＡＢＣ工務店､看板取り外し処分,0,10,消費税,資金区分,0,,,,0
126,42,2,2022-07-29,三菱東京UFJ当座預金,,㈱大塚商会､保守料,0,10,消費税,資金区分,0,,,,0
129,43,2,2022-07-29,城北信当座預金,,㈲錦町ｵｰﾄ､ﾄﾗｯｸ整備代,0,10,消費税,資金区分,0,,,,0
,,,2022-07,,※※月計※※,,0,,,,0,,,,
333,111,2,2022-08-31,三菱東京UFJ当座預金,,㈱大塚商会､保守料,0,10,消費税,資金区分,0,,,,0
,,,2022-08,,※※月計※※,,0,,,,0,,,,
366,122,2,2022-09-30,三菱東京UFJ当座預金,,㈱大塚商会､保守料,0,10,消費税,資金区分,0,,,,0
,,,2022-09,,※※月計※※,,0,,,,0,,,,
387,129,2,2022-10-04,城北信当座預金,,日本メディアシステム㈱､ＮＴＴ電話機でんえもん工事代,0,10,消費税,資金区分,0,,,,0
,,,2022-10,,※※月計※※,,0,,,,0,,,,
471,157,2,2022-07-31,諸口,,[  7月-  7月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-07,,※※月計※※,,0,,,,0,,,,
513,171,2,2022-08-31,諸口,,[  8月-  8月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-08,,※※月計※※,,0,,,,0,,,,
543,181,2,2022-09-30,諸口,,[  9月-  9月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-09,,※※月計※※,,0,,,,0,,,,
567,189,2,2022-10-31,諸口,,[ 10月- 10月 一括税抜],0,,,,0,10,消費税,資金区分,0
,,,2022-10,,※※月計※※,,0,,,,0,,,,0
