num,GL02,GL02-GL55,date,contra_acct,contra_acct_name,note,dbt_amount,dbt_tax_code,dbt_tax_rate,dbt_tax_desc,cdt_amount,cdt_tax_code,cdt_tax_rate,cdt_tax_desc,balance
,,,,預り金,,,0,,,,0,,,,0
21,7,2,2022-07-11,諸口,,大田コンサル､源泉所得税,0,,,,0,,,資金区分,0
30,10,2,2022-07-11,諸口,,イロハ社労士事務所､源泉所得税,0,,,,0,,,資金区分,0
78,26,2,2022-07-26,現金,,麹町税務署､源泉所得税納付,0,,,資金区分,0,,,,0
117,39,2,2022-07-28,諸口,,ＸＹＺ司法書士､源泉所得税,0,,,,0,,,資金区分,0
270,90,2,2022-07-10,借入金,,麹町税務署､源泉所得税納付､社長立替分,0,,,資金区分,0,,,,0
,,,2022-07,,※※月計※※,,0,,,,0,,,,
288,96,2,2022-08-08,現金,,ＸＹＺ司法書士､源泉所得税納付,0,,,資金区分,0,,,,0
306,102,2,2022-08-10,諸口,,大田コンサル､源泉所得税,0,,,,0,,,資金区分,0
,,,2022-08,,※※月計※※,,0,,,,0,,,,
345,115,2,2022-09-05,現金,,麹町税務署､源泉所得税納付,0,,,資金区分,0,,,,0
354,118,2,2022-09-12,諸口,,大田コンサル､源泉所得税,0,,,,0,,,資金区分,0
363,121,2,2022-09-22,現金,,麹町税務署､源泉所得税納付,0,,,資金区分,0,,,,0
,,,2022-09,,※※月計※※,,0,,,,0,,,,
396,132,2,2022-10-12,諸口,,大田コンサル､源泉所得税,0,,,,0,,,資金区分,0
408,136,2,2022-10-19,現金,,麹町税務署､源泉所得税納付,0,,,資金区分,0,,,,0
417,139,2,2022-10-19,諸口,,ＸＹＺ司法書士､源泉所得税,0,,,,0,,,資金区分,0
426,142,2,2022-10-19,現金,,麹町税務署､源泉所得税納付,0,,,資金区分,0,,,,0
,,,2022-10,,※※月計※※,,0,,,,0,,,,0
