月種別,種類,形式,作成方法,付箋,伝票日付,伝票番号,伝票摘要,枝番,借方部門,借方部門名,借方科目,借方科目名,借方補助,借方補助科目名,借方金額,借方消費税コード,借方消費税業種,借方消費税税率,借方資金区分,借方任意項目１,借方任意項目２,貸方部門,貸方部門名,貸方科目,貸方科目名,貸方補助,貸方補助科目名,貸方金額,貸方消費税コード,貸方消費税業種,貸方消費税税率,貸方資金区分,貸方任意項目１,貸方任意項目２,摘要,期日,証番号,入力マシン,入力ユーザ,入力アプリ,入力会社,入力日付
0,0,4,0,0,20220704,1,,1,,,100,現金,,,150000,0,,,,,,,,110,城北信当座預金,,,150000,0,,,,,,預金引出,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
0,0,4,0,0,20220704,2,,1,,,529,修繕費,,,50000,32,,10,56,,,,,100,現金,,,50000,0,,,,,,ＡＢＣ工務店､看板取り外し処分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
0,0,4,0,0,20220711,3,,1,,,204,未払金,,,7860,0,,,67,,,,,110,城北信当座預金,,,7860,0,,,,,,信金ｸﾚｼﾞｯﾄ扱ETC､有料道路代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
0,0,4,0,0,20220711,4,,1,,,512,支払手数料,,,1100,32,,10,56,,,,,110,城北信当座預金,,,1100,0,,,,,,城北信金､ｱﾝｻｰﾎﾝ手数料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20220902
0,0,3,0,0,20220711,5,,1,,,512,支払手数料,,,24444,32,,10,56,,,,,999,諸口,,,24444,0,,,,,,大田コンサル､顧問料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
0,0,3,0,0,20220711,5,,2,,,999,諸口,,,22176,0,,,,,,,,110,城北信当座預金,,,22176,0,,,,,,大田コンサル､顧問料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
0,0,3,0,0,20220711,5,,3,,,999,諸口,,,2268,0,,,,,,,,208,預り金,,,2268,0,,,4,,,大田コンサル､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
0,0,3,0,0,20220711,6,,1,,,512,支払手数料,,,55000,32,,10,56,,,,,999,諸口,,,55000,0,,,,,,イロハ社労士事務所､労働保険諸手続,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
0,0,3,0,0,20220711,6,,2,,,999,諸口,,,49895,0,,,,,,,,110,城北信当座預金,,,49895,0,,,,,,イロハ社労士事務所､労保諸手続報酬払い,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
0,0,3,0,0,20220711,6,,3,,,999,諸口,,,5105,0,,,,,,,,208,預り金,,,5105,0,,,4,,,イロハ社労士事務所､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
