-,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ
1,0,0,4,0,0,2022-07-04,1,,1,,,100,現金,,,150000,,,,,,,,,110,城北信当座預金,,,150000,,,,,,,預金引出,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
2,0,0,4,0,0,2022-07-04,2,,1,,,529,修繕費,,,50000,32,,10,56,,,,,100,現金,,,50000,,,,,,,ＡＢＣ工務店､看板取り外し処分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
3,0,0,4,0,0,2022-07-11,3,,1,,,204,未払金,,,7860,,,,67,,,,,110,城北信当座預金,,,7860,,,,,,,信金ｸﾚｼﾞｯﾄ扱ETC､有料道路代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
4,0,0,4,0,0,2022-07-11,4,,1,,,512,支払手数料,,,1100,32,,10,56,,,,,110,城北信当座預金,,,1100,,,,,,,城北信金､ｱﾝｻｰﾎﾝ手数料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-09-02
5,0,0,3,0,0,2022-07-11,5,,1,,,512,支払手数料,,,24444,32,,10,56,,,,,999,諸口,,,24444,,,,,,,大田コンサル､顧問料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
6,0,0,3,0,0,2022-07-11,5,,2,,,999,諸口,,,22176,,,,,,,,,110,城北信当座預金,,,22176,,,,,,,大田コンサル､顧問料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
7,0,0,3,0,0,2022-07-11,5,,3,,,999,諸口,,,2268,,,,,,,,,208,預り金,,,2268,,,,4,,,大田コンサル､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
8,0,0,3,0,0,2022-07-11,6,,1,,,512,支払手数料,,,55000,32,,10,56,,,,,999,諸口,,,55000,,,,,,,イロハ社労士事務所､労働保険諸手続,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
9,0,0,3,0,0,2022-07-11,6,,2,,,999,諸口,,,49895,,,,,,,,,110,城北信当座預金,,,49895,,,,,,,イロハ社労士事務所､労保諸手続報酬払い,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
10,0,0,3,0,0,2022-07-11,6,,3,,,999,諸口,,,5105,,,,,,,,,208,預り金,,,5105,,,,4,,,イロハ社労士事務所､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
11,0,0,4,0,0,2022-07-12,7,,1,,,154,仮払金,,,50000,,,,64,,,,,110,城北信当座預金,,,50000,,,,,,,ＸＹＺ司法書士､解散登記法定費用分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
