ibg-00,ibg-23,ibg-24,ibg-25,ibg-28,ibg-30,ibg-32,ibt-001,ibt-002,ibt-003,ibt-005,ibt-009,ibt-020,ibt-023,ibt-024,ibt-027,ibt-028,ibt-029,ibt-029-1,ibt-030,ibt-030-1,ibt-031,ibt-031q,ibt-033,ibt-034,ibt-034-1,ibt-035,ibt-036,ibt-037,ibt-038,ibt-039,ibt-040,ibt-041,ibt-042,ibt-043,ibt-044,ibt-045,ibt-046,ibt-046-1,ibt-047,ibt-047-1,ibt-048,ibt-048q,ibt-049,ibt-049-1,ibt-050,ibt-051,ibt-052,ibt-053,ibt-054,ibt-055,ibt-056,ibt-057,ibt-058,ibt-070,ibt-071,ibt-071-1,ibt-073,ibt-074,ibt-075,ibt-076,ibt-077,ibt-078,ibt-079,ibt-080,ibt-081,ibt-082,ibt-084,ibt-084-1,ibt-085,ibt-106,ibt-107,ibt-108,ibt-109,ibt-110,ibt-112,ibt-113,ibt-114,ibt-115,ibt-116,ibt-117,ibt-118,ibt-119,ibt-119a,ibt-122,ibt-123,ibt-125,ibt-125-1,ibt-125-2,ibt-124,ibt-126,ibt-127,ibt-188,ibt-129,ibt-130,ibt-131,ibt-134,ibt-135,ibt-141a,ibt-141,ibt-144,ibt-145,ibt-146,ibt-149,ibt-150,ibt-151,ibt-152,ibt-167,ibt-153,ibt-160,ibt-161
0,,,,,,,103,2023-11-01,380,JPY,2023-11-20,"月末締め翌月20日払い, 銀行手数料振込人負担",urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:fdc:peppol:jp:billing:3.0,株式会社 〇〇商事,株式会社 〇〇商事,123456:000123:0147:1,0147,1234567890123,0188,T1234567890123,VAT,Private Limited Company,1234567890123,0188,四谷4-29-X,〇〇商事ビル,新宿区,1600044,東京都,JP,青木 志郎,03-3xxx-0001,shirou_aoki@〇〇co.jp,株式会社 〇〇物産,株式会社 〇〇物産,654321:000321:0147:1,0147,654321:000321:0147:1,0147,T3210987654321,VAT,3210987654321,0188,北区,北十二条西76-X,札幌市,0010012,北海道,JP,株式会社 〇〇物産,011-757-1xxx,purchaser@oobussan.co.jp,株式会社 〇〇物産 札幌支社,123456:000123:0147:1,0147,2023-10-01,2023-10-31,北区,北十二条西76-X,札幌市,0010012,北海道,JP,30,Credit transfer,1234:567:1:3242394,ZENGIN,ｶ)ﾏﾙﾏﾙｼﾖｳｼﾞ,263490,0,0,263490,26000,289490,0,0,289490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000,26000,S,10,VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3490,0,E,0,VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doc1,Usage summary,aHR0cHM6Ly90ZXN0LXZlZmEuZGlmaS5uby9wZXBwb2xiaXMvcG9hY2MvYmlsbGluZy8zLjAvYmlzLw==,text/csv,report.csv,http://www.salescompany.com/summary001.html,,,,,,,,,,,,,,,,,,,,,
0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doc2,Usage breakdown,,,,http://www.salescompany.com/breakdown001.html,,,,,,,,,,,,,,,,,,,,,
0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,The equipment has 3 year warranty.,D001-1,5,H87,257500,2023-10-16,2023-10-16,,,,,50000,1,H87,S,10,VAT,デスクチェア,表示単位名称,脚
0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1679,値引,95,,,,,,,,,
0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1500,クリーニング,CG,,,,,,,,,
0,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,7679,配送サービス,FC,,,,,,,,,
0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,D001-2,5,H87,2500,2023-10-18,2023-10-18,,,,,500,1,H87,S,10,VAT,コピー用紙（A4）,表示単位名称,冊
0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,D001-3,10,H87,3490,2023-10-18,2023-10-18,,,,,349,1,H87,E,0,VAT,検定済教科書(算数),表示単位名称,冊
