num,group,UN _CCL_ID,kind,den1,den2,den3,den4,den5,den6,den7,den8,den9,den10,den11,den12,den,name,name_ja,desc_ja,occurs,ver,identifier
1,ヘッダ部,JP0,MA,SME_ Consolidated Invoice,,,,,,,,,,,,SME_ Consolidated Invoice,rsm:SMEConsolidatedInvoice,統合請求書,受注者が発注者に交付する月締め統合請求文書（メッセージ）,－,v4, 
2,ヘッダ部,UN01005479,ASMA,CI_ Exchanged Document_ Context. Details,,,,,,,,,,,,CI_ Exchanged Document_ Context. Details,rsm:CIExchangedDocumentContext,取引設定クラス,メッセージの設定内容に関する情報からなるクラス,1..1,v1,  
3,ヘッダ部,UN01005480,BBIE,,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,,,,,,,,,,,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,ram:SpecifiedTransactionID,取引識別子,メッセージがやり取りされる取引番号,0..1,v1,   
4,ヘッダ部,UN01012746,BBIE,,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,,,,,,,,,,,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,ram:ProcessingTransactionDateTime,処理日時,メッセージがやり取りされる日時,0..1,v1/v2,日時様式
5,ヘッダ部,UN01005481,ASBIE,,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,ram:BusinessProcessSpecifiedCIDocumentContextParameter,取引設定内容/取引プロセスグループ,取引設定内容の取引プロセスに関する情報,1..1,v1,  
6,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,CI_ Document Context_ Parameter. Details,ram:CIDocumentContextParameterType,取引プロセス設定クラス,取引プロセスに関する情報のクラス, -,v1,  
7,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,CI_ Document Context_ Parameter. Identification. Identifier,ram:ID,取引プロセス識別子,"取引プロセスの識別子(ID)
共通EDIプロバイダがプロセスをセットする",1..1,v1,  
8,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,CI_ Document Context_ Parameter. Value. Text,ram:Value,取引プロセス名,取引プロセスの名称,0..1,v1,"言語コード
ISO639"
9,ヘッダ部,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,ram:SpecifiedCIDocumentVersion,取引プロセス/バージョングループ,取引プロセスのバージョンに関する情報,1..1,v1,  
10,ヘッダ部,UN01005475,ABIE,,,,,CI_ Document_ Version. Details,,,,,,,,CI_ Document_ Version. Details,ram:CIDocumentVersionType,バージョンクラス,バージョンに関する情報のクラス, - ,v1,  
11,ヘッダ部,UN01005476,BBIE,,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,CI_ Document_ Version. Identification. Identifier,ram:ID,バージョン識別子,取引プロセスのバージョン識別子,1..1,v1,JECxxxx
12,ヘッダ部,UN01005478,BBIE,,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,CI_ Document_ Version. Issue. Date Time,ram:IssueDateTime,バージョン発行日,取引プロセスのバージョン発行日,1..1,v1,日付様式
13,ヘッダ部,UN01005483,ASBIE,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,ram:ScenarioSpecifiedCIDocumentContextParameter,取引設定内容/取引シナリオグループ,取引設定内容の取引シナリオに関する情報,0..1,v1,  
14,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,CI_ Document Context_ Parameter. Details,ram:CIDocumentContextParameterType,取引シナリオ設定クラス,取引シナリオに関する情報のクラス, -,v1,  
15,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,CI_ Document Context_ Parameter. Identification. Identifier,ram:ID,取引シナリオ識別子,取引シナリオの識別子(ID),0..1,v1,  
16,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,CI_ Document Context_ Parameter. Value. Text,ram:Value,取引シナリオ名,取引シナリオの名称,0..1,v1,"言語コード
ISO639"
17,ヘッダ部,UN01005484,ASBIE,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,ram:ApplicationSpecifiedCIDocumentContextParameter,取引設定内容/アプリケーショングループ,取引設定内容のアプリケーションに関する情報,0..1,v1,  
18,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,CI_ Document Context_ Parameter. Details,ram:CIDocumentContextParameterType,アプリケーション設定クラス,アプリケーションに関する情報のクラス, -,v1,  
19,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,CI_ Document Context_ Parameter. Identification. Identifier,ram:ID,アプリケーション識別子,業務アプリケーションの識別子,0..1,v1,  
20,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,CI_ Document Context_ Parameter. Value. Text,ram:Value,アプリケーション名,業務アプリケーションの名称,0..1,v1,"言語コード
ISO639"
21,ヘッダ部,UN01005486,ASBIE,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,ram:SubsetSpecifiedCIDocumentContextParameter,取引設定内容/業務領域グループ,取引設定内容の業務領域の情報に関する情報,1..1,v1,  
22,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,CI_ Document Context_ Parameter. Details,ram:CIDocumentContextParameterType,業務領域設定クラス,JEC業界横断EDIメッセージ業務領域に関する情報のクラス, -,v1,  
23,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,CI_ Document Context_ Parameter. Identification. Identifier,ram:ID,業務領域識別子,SIPSが付与したメッセージ業務領域識別子(ID),1..1,v1,JECxxxx
24,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,CI_ Document Context_ Parameter. Value. Text,ram:Value,業務領域名,SIPSが付与したメッセージ業務領域名称,0..1,v1,"言語コード
ISO639"
25,ヘッダ部,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,ram:SpecifiedCIDocumentVersion,業務領域/バージョングループ,業務領域のバージョンに関する情報,1..1,v1,  
26,ヘッダ部,UN01005475,ABIE,,,,,CI_ Document_ Version. Details,,,,,,,,CI_ Document_ Version. Details,ram:CIDocumentVersionType,バージョンクラス,バージョンに関する情報のクラス, - ,v1,  
27,ヘッダ部,UN01005476,BBIE,,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,CI_ Document_ Version. Identification. Identifier,ram:ID,バージョン識別子,業務領域のバージョン識別子,1..1,v1,  
28,ヘッダ部,UN01005478,BBIE,,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,CI_ Document_ Version. Issue. Date Time,ram:IssueDateTime,バージョン発行日,業務領域のバージョン発行日,1..1,v1,日付様式
29,ヘッダ部,UN01005861,ASMA,CIIH_ Exchanged_ Document. Details,,,,,,,,,,,,CIIH_ Exchanged_ Document. Details,rsm:CIIHExchangedDocument,インボイス文書クラス,インボイス文書に関する情報項目のクラス,1..1,v4,  
30,ヘッダ部,UN01005862,BBIE,,CIIH_ Exchanged_ Document. Identification. Identifier,,,,,,,,,,,CIIH_ Exchanged_ Document. Identification. Identifier,ram:ID,インボイス文書番号,インボイス文書を識別する文書番号または文書文字列,1..1,v4,  
31,ヘッダ部,UN01005863,BBIE,,CIIH_ Exchanged_ Document. Name. Text,,,,,,,,,,,CIIH_ Exchanged_ Document. Name. Text,ram:Name,インボイス文書名,インボイス文書の文書名称,0..1,v4,"言語コード
ISO639"
